Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Jash Engineering,,JASH,Engineering,2524.45,168.84,35.70,5.10,40.80,2.94,37.86,2.60,35.26,2.04,33.22,0.00,33.22,21.14,19.68,11.94,27.61,3158.73
Jattashankar Ind,514318,,Textiles - Processing,32.80,2.78,-0.07,0.14,0.07,0.06,0.01,0.00,0.01,0.11,-0.11,0.00,-0.11,-2.52,-3.96,,-0.25,14.40
Jauss Polymers,526001,,Plastics Products,9.56,0.00,-0.05,0.00,-0.05,0.02,-0.07,0.00,-0.07,0.00,-0.07,0.00,-0.07,,,4.63,-0.15,4.42
Jay Bharat Maru.,520066,JAYBARMARU,Auto Ancillaries,117.12,533.17,37.44,0.51,37.95,21.08,16.87,9.40,7.47,2.43,5.05,0.00,5.05,7.02,0.95,,0.47,1267.82
Jay Jalaram Tech,,KORE,Trading,656.60,132.82,3.10,,,,,,,,,,1.71,,,,1.54,730.80
Jay Kailash,544160,,Food - Processing - Indian,66.00,,,,,,,,,,,,,,,,,32.98
Jay Shree Tea,509715,JAYSREETEA,Tea,123.33,146.80,-47.86,48.30,-40.80,6.19,-46.99,8.91,-14.66,1.48,-50.37,41.24,-10.95,-32.60,-34.31,11.33,-3.79,356.18
Jay Ushin,513252,,Auto Ancillaries,779.00,173.61,6.78,4.40,11.18,3.02,8.16,4.06,4.10,1.21,2.89,0.00,2.89,3.91,1.66,3.86,7.48,300.69
Jayabharat Cred.,501311,,Finance & Investments,9.39,0.00,-0.30,0.01,-0.29,0.00,-0.29,0.30,-0.59,0.20,-0.80,0.00,-0.80,,,5.00,-1.60,4.70
Jayant Agro Org.,524330,JAYAGROGN,Chemicals,292.90,606.66,24.39,0.54,24.93,3.64,21.29,1.76,19.53,5.29,13.78,0.00,14.35,4.02,2.37,15.00,4.59,878.70
Jayant Infratech,543544,,Engineering - Turnkey Services,149.80,23.78,2.77,,,,,,,,,,2.34,,,,2.41,145.41
Jayaswal Neco,522285,JAYNECOIND,Steel - Large,50.31,1469.29,188.35,2.12,191.11,67.76,123.35,111.16,11.55,6.35,5.49,-0.64,5.20,12.82,0.37,970.99,0.05,4885.09
Jayatma Enterp.,539005,,Miscellaneous,16.86,0.14,-0.02,0.09,0.07,0.01,0.06,0.00,0.06,-0.03,0.08,0.00,0.08,-14.29,57.14,3.00,0.27,5.06
Jayatma Industri,531323,,Trading,15.05,23.95,0.19,0.23,0.42,0.08,0.34,0.28,0.06,0.04,0.02,0.00,0.02,0.79,0.08,6.15,0.03,9.29
Jaybharat Text,512233,,Textiles - Processing,28.00,1.54,0.01,0.00,0.01,4.79,-4.78,0.00,-4.78,0.00,-4.78,0.00,-4.78,0.65,-310.39,,-0.12,1071.95
Jaykay Enter.,500306,,Miscellaneous,93.18,10.34,0.48,1.51,1.99,0.75,1.24,0.47,0.77,2.77,-1.99,0.00,-1.99,4.64,-19.25,4.76,-0.20,1089.42
Jayshree Chem.,506520,,Trading,9.29,2.78,-0.27,0.32,0.11,0.07,0.04,0.01,-0.03,0.00,0.03,-0.06,-0.03,-9.71,1.08,29.33,-0.01,27.25
Jaysynth Orgo,524592,,Trading,16.29,49.86,3.05,0.14,3.19,0.69,2.50,0.13,2.37,0.78,1.59,0.00,1.59,6.12,3.19,,1.20,219.76
JBM Auto,532605,JBMA,Auto Ancillaries,1947.10,946.22,113.62,3.83,117.45,39.88,77.57,39.23,38.34,8.06,30.18,0.00,30.28,12.01,3.20,,2.55,23023.90
JCT,500223,,Textiles - Composite,1.91,195.60,6.49,3.43,9.92,2.52,7.40,9.94,-2.54,0.00,-2.54,0.00,-2.54,3.32,-1.30,,-0.03,165.85
Jeena Sikho,,JSLL,Pharmaceuticals - Indian - Formulations,1147.00,117.39,29.82,,,,,,,,,,22.53,,,,9.05,2851.46
Jeevan Scienti.,538837,,Miscellaneous,58.52,7.93,-1.03,0.27,-0.76,1.42,-2.18,0.28,-2.46,-0.15,-2.30,0.00,-2.31,-12.99,-29.13,15.30,-1.49,90.59
Jenburkt Pharma,524731,,Pharmaceuticals - Indian - Formulations,910.80,29.18,6.96,1.04,8.00,0.50,7.50,0.07,7.43,2.06,5.37,0.00,5.37,23.85,18.40,,12.17,401.96
Jet Airways,532617,JETAIRWAYS,Transport - Airlines,40.08,12.53,-347.72,0.57,-347.15,41.75,-388.90,1.21,-390.11,0.00,-390.11,0.00,-390.11,-2775.10,-3113.41,,-34.34,455.31
Jet Freight,543420,JETFREIGHT,Transport - Airlines,14.04,95.95,4.36,0.25,4.61,0.68,3.93,1.44,2.49,1.50,0.99,0.00,0.99,4.54,1.03,11.60,0.21,65.15
Jet Infraventure,538794,,Construction,20.19,0.43,0.19,,,,,,,,,,0.28,,,,0.67,13.13
Jet Knitwears,,JETKNIT,Textiles - Products,114.00,17.55,1.52,,,,,,,,,,0.57,,,,1.29,50.24
Jetking Infotrai,517063,,Computers - Education,59.92,4.78,-0.56,2.74,2.18,0.54,1.64,0.05,1.59,0.00,1.60,0.00,1.60,-11.72,33.47,5.91,2.71,35.40
Jetmall Spices,543286,,Trading,11.07,2.81,0.11,,,,,,,,,,0.29,,,,0.48,6.63
JFL Life,,JFLLIFE,Pharmaceuticals - Indian - Formulations,67.75,23.58,1.53,,,,,,,,,,1.81,,,,1.65,74.51
Jhandewala Foods,540850,,Food - Processing - Indian,111.55,7.85,-1.73,0.04,-9.65,0.24,-9.89,2.97,-12.86,-0.35,-12.51,0.00,3.99,-12.00,-15.50,,3.89,114.45
Jhaveri Credits,531550,,Finance & Investments,328.95,11.32,0.88,0.10,0.98,0.00,0.98,0.06,0.92,-0.01,0.93,0.00,0.93,7.77,8.22,6.46,1.44,295.59
JHS Sven.Lab.,532771,JHS,Personal Care - Indian,22.38,21.72,-3.56,-11.54,3.53,1.61,1.92,0.11,-16.82,-6.12,7.92,-18.63,-10.71,-16.39,36.46,64.90,-1.65,175.45
JHS Svend.Retail,544197,RETAIL,Trading,49.10,3.68,0.25,1.20,1.45,0.70,0.75,0.30,0.45,0.69,-0.24,0.00,-0.24,6.79,-6.52,,,31.94
Jigar Cables,540651,,Cables - Power,76.32,15.96,1.33,,,,,,,,,,0.70,,,,1.00,53.67
Jindal Capital,530405,,Finance & Investments,34.91,1.09,-0.26,0.02,-0.24,0.00,-0.24,0.02,-0.26,-0.01,-0.26,0.00,-0.26,-23.85,-23.85,7.21,-0.36,25.17
Jindal Drilling,511034,JINDRILL,Oil Drilling / Allied Services,665.60,93.95,33.29,4.59,37.88,15.77,22.11,3.26,18.85,6.78,12.07,0.00,12.07,35.43,12.85,,4.16,1928.91
Jindal Hotels,507981,,Hotels,124.55,9.01,2.05,0.26,2.31,1.18,1.13,1.38,-0.25,-0.04,-0.21,0.00,-0.21,22.75,-2.33,,-0.30,87.19
Jindal Leasefin,539947,,Finance & Investments,49.00,0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,-100.00,-100.00,3.01,-0.03,14.74
Jindal Photo,532624,JINDALPHOT,Finance & Investments,880.85,7.78,7.66,45.52,53.18,0.01,53.17,1.40,51.77,-0.14,51.91,0.00,51.91,98.46,667.22,10.26,50.40,903.75
Jindal Poly Film,500227,JINDALPOLY,Textiles - Products,820.70,809.55,25.05,3.71,255.73,43.10,212.63,25.31,-39.65,345.31,-503.30,-226.97,-384.96,3.09,-62.17,43.79,-87.90,3593.55
Jindal Poly Inve,536773,JPOLYINVST,Finance & Investments,875.10,905.23,394.55,7.79,406.54,64.04,342.50,31.73,306.57,79.90,160.45,-4.20,226.67,43.59,25.38,10.51,150.57,919.73
Jindal Saw,500378,JINDALSAW,Steel - Large,650.40,4410.22,607.66,37.22,644.88,131.57,513.31,159.70,353.61,109.32,244.29,0.00,244.29,13.78,5.54,,8.27,20796.81
Jindal Stain.,532508,JSL,Steel - Large,729.75,10183.96,1192.37,75.80,1268.17,188.01,1080.16,99.55,980.61,243.03,737.58,0.00,737.58,11.71,7.24,,9.06,60090.14
Jindal Steel,532286,JINDALSTEL,Steel - Sponge Iron,956.75,12588.34,2627.87,55.29,2683.16,587.50,2095.66,329.11,1766.55,74.75,1686.94,0.00,1691.80,20.88,13.44,,16.54,97596.93
Jindal Worldwide,531543,JINDWORLD,Textiles - Products,370.10,549.46,57.45,0.40,57.85,9.15,48.70,13.11,35.59,9.07,26.53,0.00,26.53,10.46,4.83,20.05,1.32,7421.26
Jio Financial,543940,JIOFIN,Finance & Investments,326.25,414.13,375.94,66.98,442.92,5.35,437.57,10.27,427.30,95.38,331.92,0.00,331.92,90.78,80.15,,,207275.90
JITF Infra Logis,540311,JITFINFRA,Miscellaneous,892.75,634.66,92.41,7.55,99.96,18.27,81.69,84.29,-2.60,6.89,-9.48,0.00,-9.48,14.56,-1.49,5.14,-7.81,2294.70
Jiwanram Sheo,,JIWANRAM,Textiles - Products,14.35,,,,,,,,,,,,,,,,,35.51
JK Agri Genetics,536493,,Miscellaneous,551.65,79.82,9.43,1.03,10.46,0.87,9.59,2.06,7.53,2.11,5.42,0.00,5.42,11.81,6.79,,11.69,255.80
JK Lakshmi Cem.,500380,JKLAKSHMI,Cement - North India,848.25,1730.25,196.23,11.13,207.36,55.72,151.64,33.10,118.54,38.75,78.47,0.00,79.79,11.34,4.61,,6.67,9981.36
JK Paper,532162,JKPAPER,Paper,497.45,1584.36,477.19,54.84,532.03,79.91,452.12,51.26,400.86,88.30,308.67,0.00,312.56,30.12,19.73,,18.22,8426.92
JK Tyre & Indust,530007,JKTYRE,Tyres,431.10,3718.08,457.12,12.68,465.45,105.81,359.64,122.24,241.75,82.41,151.09,4.35,158.59,12.29,4.19,,6.25,11239.80
JLA Infraville,538765,,Trading,4.06,0.01,-0.10,,,,,,,,,,0.11,,,,0.17,2.63
JM Financial,523405,JMFINANCIL,Finance & Investments,103.31,845.60,386.73,25.56,412.29,11.78,400.51,346.53,53.98,21.43,32.36,0.00,32.36,45.73,3.83,95.41,0.60,9873.74
JMD Ventures,511092,,Finance & Investments,14.02,0.17,-0.13,0.72,0.59,0.01,0.58,0.00,0.58,0.00,0.58,0.00,0.58,-76.47,341.18,14.43,0.20,40.46
JMG Corporation,523712,,Trading,2.20,0.01,-0.17,0.06,-0.11,0.00,-0.11,0.02,-0.13,0.00,-0.14,0.00,-0.14,-1700.00,-1400.00,,-0.06,5.09
JMJ Fintech,538834,,Finance & Investments,21.31,0.78,0.39,0.00,0.39,0.02,0.37,0.05,0.32,0.16,0.16,0.00,0.16,50.00,20.51,,0.13,26.42
JNK,544167,JNKINDIA,Engineering,751.65,107.40,18.01,1.44,19.45,2.98,16.47,2.25,14.22,3.57,10.66,0.00,10.66,16.77,9.93,,11.10,4180.75
Jocil,,JOCIL,Chemicals,199.93,200.10,4.62,0.69,5.31,1.56,3.75,0.18,3.57,0.44,3.13,0.00,3.13,2.31,1.56,8.88,3.52,177.54
John Cockerill,500147,,Engineering,5369.75,221.16,7.19,0.68,7.87,1.34,6.53,0.74,5.79,1.45,4.34,0.00,4.34,3.25,1.96,,8.79,2652.66
Johnson Con. Hit,523398,JCHAC,Air-conditioners,1925.90,567.18,-35.98,2.87,-33.11,16.40,-49.51,4.59,-54.10,-13.08,-41.02,0.00,-41.02,-6.34,-7.23,,-15.09,5236.52
Johnson Pharma,532154,,Trading,1.10,0.00,-0.19,0.00,-0.19,0.00,-0.19,0.00,-0.19,0.00,-0.19,0.00,-0.19,,,,0.00,60.50
Joindre Capital,531861,,Finance & Investments,56.67,6.73,1.08,0.00,1.08,0.11,0.97,0.06,0.91,0.32,0.59,0.00,0.59,16.05,8.77,13.84,0.43,78.43
Jointeca Educati,534659,,Computers - Software - Medium / Small,11.29,0.04,-0.14,,,,,,,,,,-0.38,,,,-0.38,11.31
Jonjua Overseas,542446,,Computers - Software - Medium / Small,11.00,1.42,0.40,,,,,,,,,,0.49,,,,0.62,8.72
Josts Engg. Co.,505750,,Engineering,1025.75,54.88,4.17,0.37,4.54,0.89,3.65,0.24,3.41,1.48,1.93,0.00,1.93,7.60,3.52,0.93,4.26,501.53
JP Associates,532532,JPASSOCIAT,Construction,9.30,1907.74,250.23,-307.96,292.36,77.11,215.25,173.91,-308.75,6.92,26.68,-350.09,-315.67,13.12,1.40,490.92,-1.31,2282.77
JP Power Ven.,532627,JPPOWER,Power Generation And Supply,19.79,1707.82,521.32,6.93,528.25,115.07,413.18,119.13,294.05,102.40,191.65,0.00,191.65,30.53,11.22,,0.28,13563.00
JPT Securities,530985,,Finance & Investments,9.13,0.10,-0.07,0.00,-0.07,0.00,-0.07,0.00,-0.07,0.00,-0.08,0.00,-0.08,-70.00,-80.00,3.01,-0.27,2.75
JSL Industries,504080,,Electric Equipment,1933.60,12.50,0.58,2.57,3.15,0.26,2.89,0.08,2.81,0.86,1.95,0.00,1.95,4.64,15.60,,16.61,226.98
JSW Energy,533148,JSWENERGY,Power Generation And Supply,722.05,2927.85,1222.08,87.49,1309.57,397.94,911.63,485.67,425.96,135.61,289.88,0.00,290.35,41.74,9.92,,1.76,126197.62
JSW Holdings,532642,JSWHL,Finance & Investments,6879.85,26.12,23.20,0.00,23.20,0.00,23.20,0.00,23.20,5.98,24.36,0.00,24.36,88.82,93.26,,21.95,7636.63
JSW Infrast,543994,JSWINFRA,Miscellaneous,325.90,878.10,451.34,40.14,491.48,94.74,396.74,-15.75,412.49,90.29,320.89,0.00,322.20,51.40,36.69,,1.72,68439.05
JSW Steel,500228,JSWSTEEL,Steel - Large,899.55,42213.00,7012.00,331.00,7343.00,1900.00,5443.00,1963.00,3480.00,1052.00,2338.00,0.00,2428.00,16.61,5.75,,9.67,219980.81
JTEKT India,520057,JTEKTINDIA,Auto Ancillaries,197.71,477.52,34.27,10.97,37.85,19.00,18.85,1.30,24.94,6.28,13.13,7.39,18.66,7.18,2.75,,0.76,5027.38
JTL Industries,534600,JTLIND,Steel - Medium / Small,208.77,504.80,35.53,0.77,36.30,1.15,35.15,1.24,33.91,8.53,25.37,0.00,25.37,7.04,5.03,,1.50,3881.22
Jubilant Food.,533155,JUBLFOOD,Hotels,606.70,1269.85,218.07,19.75,237.82,131.55,106.27,52.87,53.40,24.86,28.54,0.00,28.54,17.17,2.25,131.97,0.43,40032.81
Jubilant Inds.,533320,JUBLINDS,Chemicals,1455.90,343.37,19.95,10.23,21.14,3.41,17.73,5.25,21.52,2.74,9.74,9.04,18.78,5.81,2.84,15.03,12.46,2193.62
Jubilant Ingrev.,543271,JUBLINGREA,Chemicals,640.20,1075.02,116.57,8.50,125.07,32.30,92.77,11.46,81.31,23.72,57.59,0.00,57.59,10.84,5.36,,3.62,10197.18
Jubilant Pharmo,530019,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,851.40,1586.90,168.20,8.60,176.80,89.70,87.10,61.90,25.20,19.20,6.00,0.00,6.00,10.60,0.38,,0.40,13562.80
Julien Agro,536073,,Trading,27.68,1.50,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.01,-0.09,0.00,-0.09,-5.33,-6.00,19.79,-0.05,54.78
Jullundur Motor,,JMA,Auto Ancillaries,110.42,117.91,8.89,1.56,10.45,0.19,10.26,0.00,10.26,2.68,7.59,0.00,7.59,7.54,6.44,4.57,3.32,252.21
Jumbo Bag,516078,,Packaging,45.84,24.28,1.51,0.10,1.61,0.54,1.07,0.58,0.49,0.05,0.43,0.00,0.43,6.22,1.77,,0.51,38.37
Juniper Hotels,544129,JUNIPER,Hotels,420.40,193.98,86.61,4.88,91.49,19.00,72.49,62.18,10.31,-4.48,14.79,0.00,14.79,44.65,7.62,,,9354.00
Jupiter Info.,534623,,Miscellaneous,39.18,1.79,0.64,2.83,3.47,0.18,3.29,0.00,3.29,0.63,1.59,0.00,2.66,35.75,148.60,10.02,1.59,39.26
Jupiter Life Lin,543980,JLHL,Healthcare,1347.55,210.47,52.03,4.43,58.59,7.25,51.34,7.39,41.82,15.07,28.08,-2.13,26.75,24.72,13.34,,4.73,8835.35
Jupiter Wagons,533272,JWL,Engineering,611.30,753.19,97.34,2.22,99.56,6.54,93.02,8.37,84.65,21.05,63.60,0.00,63.60,12.92,8.44,,1.59,25949.57
Just Dial,535648,JUSTDIAL,Miscellaneous,1218.25,246.98,36.69,81.40,42.61,10.04,32.57,1.94,106.11,22.71,24.07,75.48,83.40,14.86,9.75,,9.81,10360.03
Jyothi Infra.,531537,,Construction,30.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1.55,0.00,4.74
Jyothy Labs,532926,JYOTHYLAB,Personal Care - Indian,518.65,687.10,117.42,16.94,134.36,11.96,122.40,1.11,121.29,25.04,96.25,0.00,96.25,17.09,14.01,,2.62,19045.28
Jyoti,504076,,Electric Equipment,80.36,52.65,5.73,-2.66,8.99,1.92,7.07,0.11,1.04,-0.79,7.75,-5.92,1.83,10.88,14.72,23.09,0.79,185.57
Jyoti CNC Auto.,544081,JYOTICNC,Engineering,1148.65,445.78,84.00,41.40,94.95,10.54,84.41,31.62,83.24,13.75,44.09,30.45,69.49,18.84,9.89,,21.10,26122.95
Jyoti Resins,514448,,Chemicals,1437.50,65.08,20.05,1.75,21.80,0.40,21.40,0.03,21.37,4.96,16.41,0.00,16.41,30.81,25.22,4.00,13.68,1725.00
Jyoti Structures,513250,JYOTISTRUC,Transmisson Line Towers / Equipment,29.72,155.83,6.55,0.80,7.35,1.57,5.78,0.23,5.55,0.00,5.55,0.00,5.55,4.20,3.56,126.91,0.08,2518.32
Jyotirgamya Ent.,539246,,Trading,108.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,24.84
K C P,590066,KCP,Cement - South India,238.61,744.14,67.43,13.13,80.56,22.19,58.37,12.79,45.58,-3.82,30.31,0.00,49.81,9.06,6.69,,2.35,3076.19
K E C Intl.,532714,KEC,Transmisson Line Towers / Equipment,882.30,4243.59,244.36,2.83,247.19,41.79,205.40,158.70,46.70,4.37,42.33,0.00,42.33,5.76,1.00,,1.65,22682.91
K G Denim,500239,,Textiles - Cotton/Blended,27.70,91.35,-7.24,0.94,-6.30,4.59,-10.89,6.66,-17.55,-4.55,-13.00,0.00,-13.00,-7.93,-14.23,25.65,-5.18,71.02
K K Fincorp,503669,,Finance & Investments,52.25,0.26,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.01,0.18,0.00,0.18,73.08,69.23,5.60,0.32,29.26
K P R Mill Ltd,532889,KPRMILL,Textiles - Products,864.40,1610.73,332.07,5.26,337.33,45.22,292.11,21.66,270.45,67.61,202.84,0.00,202.84,20.62,12.59,,5.93,29546.40
K Z Leasing,511728,,Finance & Investments,33.51,0.03,-0.53,0.38,-0.15,0.00,-0.15,0.16,-0.31,0.11,-0.42,0.00,-0.42,-1766.67,-1400.00,3.04,-1.38,10.19
K-Lifestyle,514221,,Textiles - Products,0.37,2.67,0.68,0.00,0.68,7.10,-6.42,0.00,-6.42,0.00,-6.42,0.00,-6.42,25.47,-240.45,,-0.06,37.83
K.P. Energy,539686,,Engineering - Turnkey Services,401.20,148.45,23.00,2.65,25.65,1.32,24.33,1.79,22.54,6.77,15.48,0.00,15.48,15.49,10.43,,2.32,2675.60
K&R Rail Engine.,514360,,Construction,466.30,206.93,5.88,0.17,6.05,0.63,5.42,0.83,4.59,1.37,3.23,0.00,3.23,2.84,1.56,,2.05,987.20
K2 Infragen,,K2INFRA,Engineering - Turnkey Services,252.00,59.54,18.49,,,,,,,,,,12.42,,,,55.34,317.98
Kaarya Facilit.,540756,,Miscellaneous,5.60,12.58,-0.14,,,,,,,,,,-4.70,,,,-5.03,5.24
Kabra Drugs,524322,,Pharmaceuticals - Indian - Formulations,8.30,0.00,-0.14,0.00,-0.14,0.00,-0.14,0.00,-0.14,0.00,-0.14,0.00,-0.14,,,4.39,-0.32,3.64
Kabra Extrusion,524109,KABRAEXTRU,Engineering,401.45,133.64,12.38,1.29,13.67,3.71,9.96,2.44,7.52,1.95,5.57,0.00,5.57,9.26,4.17,,1.66,1403.98
Kabsons Industri,524675,,Trading,40.31,5.25,0.28,0.09,0.37,0.15,0.22,0.01,0.21,0.00,0.21,0.00,0.21,5.33,4.00,17.46,0.12,70.39
Kachchh Minerals,531778,,Mining / Minerals / Metals,29.29,0.00,-0.05,0.01,-0.04,0.01,-0.05,0.01,-0.06,0.00,-0.07,0.00,-0.07,,,5.21,-0.13,15.53
Kahan Packaging,543979,,Packaging,74.00,9.97,1.40,,,,,,,,,,0.74,,,,7.40,20.13
Kaira Can,504840,,Packaging,1929.00,58.48,2.84,0.34,3.18,1.01,2.17,-0.01,2.18,0.79,1.39,0.00,1.39,4.86,2.38,0.92,15.07,177.47
Kaiser Corporat.,531780,,Printing & Stationery,9.90,12.84,7.80,0.84,8.64,0.05,8.59,0.54,8.05,0.32,4.27,0.00,7.73,60.75,60.20,5.26,0.81,52.09
Kaizen Agro,538833,,Trading,20.05,11.31,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.17,0.01,0.00,0.01,1.59,0.09,21.41,0.00,103.09
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware,1460.60,1064.23,169.21,9.28,178.49,30.52,147.97,5.27,142.70,33.59,107.52,0.00,109.11,15.90,10.25,,6.75,23261.27
Kaka Industries,543939,,Plastics Products,262.75,79.33,10.54,,,,,,,,,,6.48,,,,6.48,358.92
Kakatiya Cement,500234,KAKATCEM,Cement - South India,233.99,45.84,-9.43,13.17,3.74,0.56,3.18,3.89,-0.71,-1.05,0.34,0.00,0.34,-20.57,0.74,7.77,0.44,181.81
Kakatiya Textile,521054,,Textiles - Cotton/Blended,22.64,1.05,0.48,0.21,0.50,0.14,0.36,0.00,0.55,0.00,0.36,0.19,0.55,45.71,34.29,5.79,0.95,13.15
Kalahridhaan,,KTL,Textiles - Products,43.00,89.33,7.30,,,,,,,,,,3.27,,,,,73.90
Kallam Textiles,530201,,Textiles - Cotton/Blended,8.13,111.96,6.52,-6.05,6.88,3.92,2.96,7.87,-11.32,-3.49,-1.42,-6.41,-7.83,5.82,-1.27,8.56,-1.48,42.93
Kalpataru Proj.,522287,KPIL,Transmisson Line Towers / Equipment,1350.95,4241.00,382.00,18.00,400.00,120.00,280.00,115.00,165.00,52.00,113.00,0.00,113.00,9.01,2.66,,7.08,21945.66
Kalyan Capitals,538778,,Finance & Investments,15.82,5.82,5.47,0.10,5.57,0.11,5.46,4.06,1.40,0.29,0.95,0.00,1.11,93.99,19.07,8.50,0.18,83.08
Kalyan Jewellers,543278,KALYANKJIL,Diamond Cutting / Jewellery,559.75,4375.74,322.94,11.65,334.59,64.07,270.52,82.06,188.46,44.91,143.55,0.00,143.55,7.38,3.28,,1.40,57688.58
Kalyani Cast-Tec,544023,,Castings & Forgings,424.35,,,,,,,,,,,,,,,,,304.70
Kalyani Forge,513509,KALYANIFRG,Castings & Forgings,558.25,63.58,0.50,1.90,2.40,2.50,-0.10,0.98,-1.08,1.96,-3.03,0.00,-3.03,0.79,-4.77,3.64,-8.33,203.20
Kalyani Invest.,533302,KICL,Finance & Investments,6066.70,5.56,3.97,0.00,3.97,0.02,3.95,0.00,3.95,1.16,2.79,0.00,2.79,71.40,50.18,4.37,6.39,2651.15
Kalyani Steels,500235,KSL,Steel - Medium / Small,880.10,459.58,101.87,14.81,116.68,13.32,103.36,8.57,94.79,25.10,69.70,0.00,69.70,22.17,15.17,21.86,15.97,3842.52
Kama Holdings,532468,,Finance & Investments,2791.75,3768.35,910.76,47.74,958.50,154.07,804.43,65.52,738.91,173.12,287.28,0.00,565.79,24.17,15.01,6.45,89.50,8958.89
Kamadgiri Fash.,514322,,Textiles - Processing,74.78,50.41,0.37,0.04,0.41,1.18,-0.77,1.66,-2.43,-0.92,-1.51,0.00,-1.51,0.73,-3.00,,-2.57,43.89
Kamanwala Housin,511131,,Construction,16.90,2.43,-8.37,0.01,-8.36,0.00,-8.36,0.00,-8.36,-0.08,-8.28,0.00,-8.28,-344.44,-340.74,14.09,-5.88,23.81
Kamat Hotels,526668,KAMATHOTEL,Hotels,224.36,80.50,27.47,232.16,31.71,3.84,27.87,-9.70,265.49,-5.68,43.26,227.92,271.16,34.12,53.74,24.17,109.99,581.24
Kamdhenu,532741,KAMDHENU,Steel - Medium / Small,506.30,166.89,15.20,0.74,15.94,1.32,14.62,0.21,14.41,3.65,10.76,0.00,10.76,9.11,6.45,26.94,4.00,1363.74
Kamdhenu Venture,543747,KAMOPAINTS,Trading,40.04,70.80,0.11,0.17,0.28,1.21,-0.93,1.09,-2.02,0.48,-2.49,0.00,-2.49,0.16,-3.52,0.03,-0.09,1258.68
Kanani Industrie,506184,KANANIIND,Diamond Cutting / Jewellery,3.05,61.86,0.20,0.11,0.31,0.02,0.29,0.26,0.03,0.05,-0.01,0.00,-0.01,0.32,-0.02,9.89,0.00,60.35
Kanchi Karpooram,538896,,Chemicals,522.20,48.74,2.77,0.72,3.49,0.76,2.73,0.08,2.65,0.86,1.78,0.00,1.78,5.68,3.65,,4.97,226.84
Kanco Tea,541005,,Tea,74.38,2.49,-12.40,2.54,-11.86,0.74,-12.60,0.46,-11.06,-0.64,-12.39,2.00,-10.42,-497.99,-497.59,5.12,-20.34,38.10
Kandagiri Spinng,521242,,Trading,24.37,1.23,-0.05,0.92,0.87,0.07,0.80,0.32,0.48,-0.15,0.63,0.00,0.63,-4.07,51.22,3.86,1.64,9.38
Kandarp Digi,,KANDARP,Computers - Software - Medium / Small,40.55,9.13,1.61,,,,,,,,,,0.76,,,,0.85,36.39
Kanel Indust.,500236,,Trading,1.50,0.00,-0.01,0.00,-0.01,0.01,-0.02,0.00,-0.02,0.00,-0.01,0.00,-0.01,,,,-0.01,2.76
Kanishk Steel,513456,,Steel - Medium / Small,28.30,106.08,-3.08,4.10,1.02,0.31,0.71,0.37,0.34,1.71,-1.38,0.00,-1.38,-2.90,-1.30,28.47,-0.49,80.49
Kanoria Chem.,506525,KANORICHEM,Chemicals,127.25,444.86,23.11,-0.08,23.03,15.45,7.58,10.59,-3.01,-2.11,-0.90,0.00,-0.90,5.19,-0.20,21.85,-0.35,556.08
Kanoria Energy,539620,,Cement Products,33.56,89.86,1.29,2.40,3.69,0.82,2.87,3.52,-0.65,-0.30,-0.35,0.00,-0.35,1.44,-0.39,21.32,-0.04,286.24
Kanpur Plastipa.,507779,KANPRPLA,Packaging,125.01,110.20,6.17,2.70,8.87,2.81,6.06,1.25,4.81,-2.44,7.26,0.00,7.26,5.60,6.59,21.47,3.38,268.36
Kansai Nerolac,500165,KANSAINER,Paints / Varnishes,302.60,2156.80,331.50,678.45,348.70,46.68,302.02,7.12,956.15,222.15,226.38,661.25,734.00,15.37,10.50,,9.13,24461.57
Kanungo Financi.,540515,,Finance & Investments,6.89,0.00,-0.04,0.22,0.18,0.00,0.18,0.20,-0.02,0.03,-0.04,0.00,-0.04,,,4.63,-0.09,3.19
Kapil Cotex,512036,,Textiles - Processing,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1.04,0.00,17.47
Kapil Raj Financ,539679,,Finance & Investments,22.50,0.00,-0.13,0.59,0.46,0.00,0.46,0.00,0.46,0.09,0.37,0.00,0.37,,,,0.72,24.62
