Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Acme Resources,539391,,Finance & Investments,38.50,0.52,4.69,2.57,42.92,48.38,,0.05,0.06,0.10,0.08,0.00,0.00,0.00,6.47,1.53,0.80,3.73,1.38,-1.08,16.69,14.28,32.84,3144.00,0.00,0.00,0.00,0.43,0.45,4.27,9.74,6.63,6.00,7.69,50.84,30.89,31.95,,730.09,0.00,0.00,99.11
Acrow India,513149,,Diversified - Medium / Small,675.00,-0.65,-0.21,0.06,333.91,336.09,151.41,0.00,0.00,0.00,0.18,,,0.00,-0.98,-1.24,-0.99,-1.85,-0.44,-0.52,32.30,,,1384.00,0.00,0.00,,,-0.70,-0.28,79.55,48.87,76.24,77.40,7.65,8.00,10.50,2.44,0.00,0.00,0.00,43.20
Action Const.Eq.,532762,ACE,Engineering,1343.55,20.66,23.14,9.89,46.11,39.00,29.47,3.21,3.31,6.00,2.88,0.00,0.00,8.46,29.97,25.36,23.71,18.28,16.56,19.45,17.57,10.85,9.36,88830.00,5.79,30.49,66.83,39.18,10.11,12.45,28.40,42.60,27.53,27.03,1751.61,1344.52,701.00,141.98,17.87,5.90,-0.22,15999.42
Active Clothing,541144,,Textiles - Products,92.26,2.72,3.98,0.02,39.69,39.65,,0.76,1.57,1.73,,0.00,0.00,0.00,7.57,7.12,7.67,8.04,,3.36,6.98,8.98,9.93,446.00,0.00,112.93,148.52,93.32,0.96,1.40,42.00,34.00,34.00,39.76,24.82,48.09,,,191.71,0.02,0.00,143.12
AD Manum Finance,511359,,Finance & Investments,77.99,8.05,8.23,0.75,72.44,65.87,59.27,,,,,0.00,0.00,0.00,10.44,9.44,9.07,8.65,4.87,6.05,41.55,69.37,56.55,1178.00,0.00,57.16,32.19,2235.76,6.00,6.95,8.99,10.92,8.42,7.83,12.20,16.12,20.21,19.88,86.77,0.00,0.00,58.49
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1261.80,11.01,10.82,109.00,81.10,77.28,,7.45,8.15,0.00,0.00,0.00,0.00,0.00,9.88,10.19,11.07,10.42,11.95,11.70,1.60,36.01,40.69,426135.00,0.00,36.20,37.27,36.08,2.46,2.40,116.29,46.91,66.80,93.98,99906.75,23909.87,7055.28,,-3.14,-5.29,1.44,140752.87
Adani Enterp.,512599,ADANIENT,Trading,3160.90,7.64,8.33,109.98,156.02,154.09,233.93,14.01,13.26,15.02,10.70,0.00,0.00,122.99,8.68,8.58,8.01,7.54,6.98,7.04,19.67,7.63,8.30,661255.00,8.10,48.36,110.62,129.33,2.00,1.87,128.20,22.56,80.14,104.56,113405.88,16139.57,7976.85,14461.27,-10.62,-7.92,3.88,360342.95
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1881.40,16.37,19.16,,14.07,15.06,,1.44,0.18,0.00,,0.00,0.00,0.00,8.41,8.60,7.37,7.37,,11.50,20.97,70.11,,692340.00,0.00,95.10,174.56,134.42,1.32,1.55,317.23,572.60,572.60,572.60,172800.12,5810.31,,,40.61,-3.41,1.16,298019.87
Adani Ports,532921,ADANIPORTS,Miscellaneous,1588.00,16.07,15.82,207.01,149.83,125.30,52.00,1.19,1.40,0.93,1.77,0.00,0.00,1019.68,11.14,11.77,12.75,13.07,17.64,16.56,0.22,56.90,58.89,1024111.00,19.31,57.71,85.09,93.20,6.76,6.64,28.07,22.99,23.50,27.06,142710.25,78313.04,70329.52,38803.12,26.26,-0.53,-2.36,343030.06
Adani Power,533096,ADANIPOWER,Power Generation And Supply,726.35,39.21,47.81,287.19,34.00,16.80,19.93,6.50,9.38,9.52,7.99,0.00,0.00,3.09,21.39,16.57,13.99,12.22,26.13,33.69,35.48,31.04,29.43,1670036.00,0.02,106.37,164.80,130.68,8.47,14.14,11.17,14.98,14.43,14.43,32803.27,18590.45,15389.19,13957.54,81.91,3.19,-4.11,280148.76
Adani Total Gas,542066,ATGL,Miscellaneous,908.90,23.66,21.23,,17.58,13.37,,17.08,25.69,,,0.00,0.00,27.50,22.28,26.51,26.09,26.09,,,-1.98,26.17,,482919.00,4.85,27.39,22.32,17.58,14.17,11.71,223.28,149.12,149.12,170.20,105719.25,14154.56,,,-53.55,-5.76,2.80,99961.74
Adani Wilmar,543458,AWL,Solvent Extraction,383.15,10.63,8.15,,,,,7.42,6.31,7.00,,0.00,9.87,0.00,15.25,18.95,20.53,20.53,,11.95,-28.70,2.87,,1144602.00,0.00,13.55,14.91,15.99,3.64,3.15,104.74,104.74,104.74,104.74,,,,,11.56,,,49797.19
Adarsh Plant,526711,,Packaging,32.50,23.97,25.26,0.99,0.73,0.51,2.60,3.34,3.31,3.05,3.14,0.00,0.00,0.00,7.15,6.22,1.74,2.56,-11.95,-17.14,19.21,2.69,1.58,5196.00,0.00,70.16,112.71,111.55,2.33,2.92,84.03,88.14,85.87,85.87,5.95,4.03,8.17,8.89,109.21,0.00,0.00,32.21
ADC India,523411,,Telecommunications - Equipment,1872.35,18.64,23.47,0.46,93.20,87.33,79.59,4.84,7.90,6.78,5.80,0.00,0.00,4.83,30.49,23.49,21.55,19.83,15.13,16.52,19.51,9.75,8.39,4983.00,55.05,56.30,108.90,63.56,11.63,15.12,26.93,24.79,24.76,25.32,95.31,104.42,119.88,58.05,36.70,0.00,-0.01,861.28
Adcon Capital,539506,,Finance & Investments,0.82,1.29,1.20,33.10,0.11,0.11,,,,,,0.00,0.00,0.00,4.13,3.38,3.29,2.22,1.22,1.45,10.58,29.97,28.18,20289.00,0.00,191.54,13.04,0.00,2.66,3.13,84.00,85.00,85.00,84.00,83.74,133.06,161.86,,2595.27,0.00,0.00,16.26
Add-Shop E-Reta.,541865,,Trading,14.19,21.03,19.65,,5.26,3.30,,7.44,3.92,6.02,,0.00,0.00,0.00,37.84,34.93,31.37,34.68,,20.95,-27.70,11.28,,46071.00,0.00,133.33,147.82,106.17,17.22,20.48,9.02,13.46,13.46,14.11,100.05,26.70,,,154.60,0.00,0.00,40.18
Addi Industries,507852,,Textiles - Products,49.02,3.06,3.50,1.08,18.19,17.13,18.14,,,,2.82,,0.00,0.00,3.68,0.96,0.35,1.59,,,31.73,,,4068.00,0.00,0.00,,0.00,1.74,2.66,17.47,16.94,18.08,17.19,4.85,8.64,7.56,2.38,0.00,0.00,0.00,52.92
Addictive Learn,,LAWSIKHO,Miscellaneous,273.70,,,,,,,,,,,0.00,0.00,0.00,496.74,496.74,496.74,496.74,,,,14.71,,,0.00,0.17,0.54,,,20.27,0.13,0.13,0.13,0.13,,,,,-4.60,,,435.45
Adeshwar Meditex,543309,,Healthcare,25.81,6.87,5.37,,,,,2.69,3.17,,,0.00,0.00,0.00,8.82,10.39,11.61,11.61,,,-16.90,6.86,,164.00,0.00,144.84,150.82,134.63,2.92,2.38,21.01,20.36,20.36,20.36,,,,,189.36,0.00,0.00,37.25
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,228.67,17.37,15.56,11.00,25.56,20.42,13.91,3.01,2.96,3.97,3.92,0.00,0.00,9.07,18.86,22.55,22.07,18.16,14.42,16.52,1.85,18.28,15.53,26151.00,18.49,71.32,64.07,69.25,14.34,12.04,33.05,30.83,31.62,32.19,1788.89,479.78,367.50,98.67,117.11,-0.49,7.00,2512.25
Adhbhut Infra.,539189,,Construction,27.08,,,,5.21,5.46,,,,,,0.00,0.00,0.00,43.95,21.71,14.39,10.21,,,,30.73,31.95,495.00,0.00,267.38,417.14,2068.33,0.42,1.07,39.28,39.35,39.28,39.28,214.61,132.39,58.91,,149.12,0.00,0.00,29.79
Adinath Exim Res,532056,,Finance & Investments,23.49,2.94,3.13,0.41,35.26,31.86,17.74,,,,,0.00,0.00,0.00,4.29,4.00,4.10,3.58,2.91,3.06,3.40,73.25,62.10,3368.00,0.00,0.00,0.00,0.00,2.85,3.04,18.03,17.31,15.99,15.01,2.46,3.40,7.63,5.04,51.41,0.00,0.00,10.15
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,30.67,17.44,20.67,0.68,2.26,1.78,1.60,20.00,12.67,20.50,6.50,,0.00,0.00,22.32,17.05,7.16,10.71,11.07,7.23,20.93,,,26499.00,0.00,0.00,,172.64,8.68,11.96,33.33,25.80,31.71,31.83,2.13,1.67,3.44,1.43,0.00,0.00,0.00,20.89
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,165.60,39.68,39.16,5.54,8.50,5.55,4.69,0.01,0.03,0.02,,0.00,0.00,0.00,11.14,11.79,12.01,11.92,36.14,40.20,-8.81,34.41,27.96,42694.00,0.00,50.71,291.99,239.74,2.44,2.69,13.28,19.36,17.02,15.66,231.12,265.46,175.34,73.68,-441.20,0.91,0.00,935.79
Aditya AMC,543374,ABSLAMC,Finance & Investments,686.00,30.92,28.66,,,,,,,,,0.00,0.00,297.66,37.62,41.48,44.08,44.08,,31.82,-6.25,62.13,,418859.00,49.45,7.51,9.40,6.66,27.98,26.03,18.74,18.74,18.74,18.74,,,,,1.44,,,19763.64
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,335.50,-13.76,-9.25,,31.19,12.35,,1.26,2.04,,,0.00,1.72,0.00,2.87,2.57,2.57,2.57,,,,12.33,,291906.00,0.00,31.11,42.28,35.11,-3.05,-1.95,96.71,84.95,84.95,84.95,17058.38,18763.91,13051.00,843.51,31.51,6.08,-2.18,34090.21
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,211.59,14.66,17.46,75.70,56.90,52.10,,,,,,0.00,0.00,0.00,9.78,9.18,9.08,9.32,,13.70,9.50,31.61,34.45,466520.00,0.00,7.72,8.45,9.01,1.53,1.97,17.78,21.00,21.00,18.49,28814.27,21397.65,,,-939.93,7.37,-3.86,55060.03
Aditya Consumer,540146,,Trading,79.99,3.30,2.75,0.00,17.94,17.90,,6.35,5.44,5.12,6.13,0.00,0.00,0.00,4.47,4.75,8.42,9.10,6.55,6.25,-21.34,3.72,4.70,242.00,0.00,1.56,1.17,2.17,2.15,1.66,129.82,102.53,121.05,108.82,25.61,108.29,46.02,,35.67,0.00,0.00,117.06
Aditya Ispat,513513,,Steel - Medium / Small,11.20,-2.00,-5.40,0.54,18.80,18.02,14.50,9.80,5.21,4.64,5.78,0.00,0.00,0.00,4.52,4.97,5.77,6.47,1.07,-0.12,,5.46,5.68,7912.00,0.00,119.98,88.11,97.40,-0.32,-1.12,11.35,8.90,9.74,10.58,2.62,3.58,2.41,1.52,150.20,0.00,0.00,5.99
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,24.95,7.73,6.57,1.67,15.57,16.34,,4.42,9.19,8.02,10.33,0.00,0.00,0.00,8.50,7.09,7.17,7.57,6.85,6.97,-8.45,8.89,7.80,45684.00,0.00,14.15,32.12,26.20,4.72,4.11,8.41,7.74,7.50,6.96,10.06,6.36,14.90,,39.62,0.00,0.00,41.77
Aditya Vision,540205,,Trading,4448.15,37.96,36.89,0.00,41.09,27.87,,3.46,5.57,10.02,8.70,0.00,0.00,8.77,23.17,29.62,26.34,22.24,35.54,36.70,0.50,8.43,6.83,7093.00,19.33,0.09,0.18,0.19,9.05,10.53,28.91,29.50,30.23,27.66,219.10,74.22,25.47,,77.43,10.23,8.23,5723.13
Adjia Tech,543269,,Computers - Software - Medium / Small,45.10,,-2.86,,27.15,,,,,,,0.00,0.00,0.00,-2.53,8.91,8.91,8.91,,,,25.84,,135.00,0.00,270.12,149.32,,19.43,-2.64,7.70,8.43,8.43,8.43,3.61,,,,1599.86,0.00,0.00,3.97
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,15.59,,,0.58,3.30,5.49,,4.14,2.29,2.23,4.47,0.00,0.00,0.00,-2.53,-17.31,-11.11,-6.49,,,,,,18661.00,0.00,34.53,91.11,135.81,-64.46,-91.96,38.74,75.67,45.81,38.74,2.98,4.09,9.65,,-113.45,0.00,0.00,9.12
Ador Fontech,530431,,Electrodes - Welding Equipment,141.20,14.06,16.82,3.50,31.13,28.19,25.08,2.87,3.89,3.70,3.10,0.00,0.00,14.00,23.60,19.91,18.01,17.69,12.28,12.71,11.76,12.02,10.99,12955.00,90.05,52.01,67.23,46.21,10.72,13.44,16.99,17.17,17.36,16.93,129.50,178.67,147.63,119.17,68.62,-4.67,-2.30,494.20
Ador Multi Prod.,523120,,Personal Care - Indian,34.55,-36.68,-40.99,,28.80,19.75,,2.94,2.88,4.52,,0.00,0.00,0.00,-48.44,-37.88,-32.43,-30.84,,-35.29,0.62,-37.03,,3927.00,0.00,31.21,35.48,65.68,-26.55,-34.20,,14.36,16.89,18.17,40.40,12.87,5.57,3.01,53.17,0.00,0.00,16.15
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1433.45,14.38,17.79,1.36,174.60,183.03,150.02,5.36,6.67,6.62,5.87,0.00,6.69,14.96,23.67,17.87,16.37,15.39,11.84,12.85,14.40,9.24,8.82,23209.00,39.24,57.45,85.95,60.23,9.35,12.37,27.76,24.18,26.18,26.80,408.91,467.72,423.93,196.84,69.04,0.06,0.36,1949.49
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,17.75,12.36,15.91,4.37,1.26,1.26,3.86,,,,0.86,0.00,0.00,0.00,15.08,13.01,12.85,16.94,16.57,11.95,44.39,21.52,23.34,13618.00,0.00,173.58,248.65,323.41,7.25,8.89,26.71,22.45,19.07,22.71,28.06,55.30,202.86,17.96,127.01,0.00,0.00,68.68
Advait Infratech,543230,,Construction,2007.40,23.16,27.20,,29.65,,,8.36,8.49,,,0.00,0.00,0.32,30.07,23.32,23.32,23.32,,,,14.45,,508.00,3.20,125.75,113.09,184.84,7.62,9.82,51.02,48.11,48.11,48.11,26.47,,,,37.07,0.01,0.00,2049.08
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,44.17,-2.01,1.92,0.62,48.27,48.89,48.66,0.00,0.00,0.00,0.00,,,0.00,1.34,-0.48,0.79,1.59,-1.69,-2.97,17.46,,,6938.00,0.00,0.00,-36500.00,,-0.74,0.76,73.67,21.22,25.71,73.67,11.90,11.90,5.42,3.24,-23651.92,0.00,-0.01,27.50
Advance Meter.,534612,,Electric Equipment,38.31,-7.50,-3.85,1.61,61.38,66.57,89.07,0.38,1.23,3.66,1.56,0.00,0.00,0.00,-2.08,-2.32,-1.19,-1.70,-6.45,-5.95,,-23.33,-7.17,10327.00,0.00,138.51,272.88,87.09,-4.18,-2.81,,57.08,57.08,57.08,14.19,45.36,39.90,28.98,385.66,0.00,0.00,61.53
Advance Petroch.,506947,,Chemicals,200.45,13.93,16.48,0.09,25.33,22.22,17.56,2.09,1.80,1.98,3.70,0.00,0.00,0.00,14.37,12.97,12.22,11.78,10.36,12.04,0.65,6.23,6.38,2061.00,0.00,64.47,53.16,41.83,2.50,3.20,31.75,29.92,32.55,34.25,3.46,3.51,2.03,2.32,59.57,0.00,0.00,18.04
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,6.65,-11.25,-19.15,0.45,16.30,18.90,,1.37,2.30,3.54,3.95,0.00,0.00,0.00,-3.88,0.38,5.32,9.36,-1.29,-4.40,,4.15,9.79,905.00,0.00,2440.70,208.27,134.29,-3.10,-4.41,,13.20,12.19,9.52,11.56,25.41,19.75,,5828.04,0.00,0.00,7.38
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,433.15,12.55,10.65,10.88,86.90,75.19,,1.39,1.28,1.38,1.13,53.69,0.00,19.23,14.18,17.33,19.38,22.76,15.07,13.50,-8.96,37.99,40.32,75052.00,20.91,62.08,62.75,51.09,11.50,9.44,29.54,28.73,27.85,28.29,3854.07,2038.71,4596.69,,114.89,-4.37,-0.38,4843.66
Advani Hotels.,523269,ADVANIHOTR,Hotels,77.35,25.17,35.23,9.24,4.68,5.12,3.68,3.94,7.19,7.04,4.78,0.00,0.00,11.37,44.48,29.84,29.27,27.52,22.54,24.07,10.73,27.81,26.54,14150.00,86.00,5.09,5.05,17.76,15.90,23.38,21.44,30.10,25.34,22.14,262.69,314.62,262.69,165.67,-38.32,0.22,-0.06,715.01
Advik Capital,539773,,Finance & Investments,2.84,10.63,12.36,42.70,0.24,0.28,,1.77,2.44,0.71,2.78,0.00,0.00,0.00,12.35,8.34,6.73,5.13,8.30,9.43,48.31,1.76,1.87,27756.00,0.00,3.36,138.19,66.73,3.91,6.15,16.32,17.67,17.67,16.33,53.95,64.23,134.51,,17.00,0.00,0.00,121.60
Aegis Logistics,500003,AEGISLOG,Trading,735.35,14.21,15.92,33.40,55.17,48.71,12.79,67.43,171.08,182.96,161.13,0.00,0.00,106.32,15.82,15.05,16.11,17.73,15.39,14.83,-2.35,8.92,7.65,69138.00,29.39,40.09,8.94,14.85,8.49,9.64,26.72,33.03,33.76,30.97,10482.61,6786.88,6499.64,566.80,12.02,2.69,4.80,25810.79
Aelea,544213,,Food - Processing - Indian,186.40,,25.67,,,,,,,,,0.00,,,20.69,20.69,20.69,20.69,,,,,,,0.00,99.12,9.37,,,10.60,23.01,23.01,23.01,23.01,,,,,96.28,,,379.67
Aeonx Digital,524594,,Trading,128.00,-1.13,3.91,,87.93,81.02,,27.82,10.57,5.82,,55.64,39.61,0.23,4.73,0.15,1.43,1.43,,-0.76,21.87,-8.26,,3886.00,13.78,202.37,208.21,65.34,0.34,2.88,26.39,21.14,21.95,26.85,34.43,25.30,41.77,8.51,351.53,2.47,0.00,58.88
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,151.56,24.25,26.95,,,,,2.90,3.38,,,0.00,74.74,1.10,32.21,25.82,24.04,24.04,,,5.00,18.09,,,5.11,93.06,85.57,68.38,11.24,15.43,48.53,48.53,48.53,48.53,,,,,110.62,,,1959.98
Aerpace Indus,534733,,Trading,44.88,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,6190.00,,0.00,,,,,,,,,35.27,30.62,78.74,20.37,0.00,0.00,0.00,613.39
Aether Industri.,543534,AETHER,Chemicals,905.70,15.26,12.25,0.86,,,,3.14,3.16,3.27,16.60,55.95,0.00,0.00,18.75,24.20,23.36,16.35,15.73,16.10,-41.41,25.87,25.31,55208.00,0.00,129.07,87.83,87.43,13.95,11.71,90.74,90.74,90.74,90.74,,,,,297.41,,,12005.08
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1482.95,21.17,18.56,,28.14,17.97,,,,,,52.30,0.00,0.00,21.45,29.23,42.42,42.42,,,-30.85,20.71,,361200.00,0.00,68.16,76.22,70.07,17.50,13.57,62.28,65.46,65.46,65.46,13917.39,,,,23.93,-2.95,9.21,20797.79
Affordable Robo.,541402,,Engineering,542.80,5.07,8.59,0.03,40.96,44.12,,0.01,0.02,1.43,1.96,0.00,0.00,0.00,10.29,7.69,13.63,19.97,9.86,8.26,-8.84,7.99,10.12,866.00,0.00,186.77,274.50,137.57,1.83,3.13,73.94,45.81,45.81,67.52,103.94,121.04,,,180.26,0.00,-1.43,610.45
AFLOAT Enterpris,543377,,Trading,11.94,0.48,0.78,,,,,,,,,0.00,0.00,0.00,2.20,1.49,21.19,21.19,,,,-2.54,,125.00,0.00,150.15,9.71,121.67,0.32,0.67,74.67,74.67,74.67,74.67,,,,,586.16,,,5.44
Agarwal Float,,AGARWALFT,Trading,92.85,,13.25,,,,,4.46,,,,0.00,0.00,0.00,15.20,14.10,14.10,14.10,,,,4.54,,301.00,0.00,71.59,113.09,,,5.74,41.25,41.25,41.25,41.25,,,,,136.54,,,67.26
Agarwal Fortune,530765,,Trading,22.05,-31.63,-31.22,0.35,1.74,2.22,4.39,-0.50,-1.60,,2.00,0.00,,0.00,-9.59,-9.21,-2.57,-2.95,-9.19,-7.75,-23.22,,,1640.00,0.00,22.13,40.56,,-15.13,-15.24,54.05,51.58,51.58,52.02,0.70,0.38,0.64,0.50,19.91,0.00,0.00,7.74
Agarwal Indl.,531921,AGARIND,Petrochemicals,1217.55,24.02,25.17,0.55,191.16,153.54,78.36,19.61,24.05,11.71,22.46,0.00,0.00,2.85,22.13,20.65,18.43,17.36,20.88,21.93,17.47,7.16,7.23,14738.00,4.10,39.18,54.46,77.69,12.07,13.09,11.04,11.52,10.59,9.00,162.91,163.06,616.79,75.06,35.50,5.97,0.48,1821.19
AGI Greenpac,500187,AGI,Packaging,767.60,11.95,15.58,7.23,190.67,173.84,198.57,1.49,3.00,2.22,2.24,0.00,0.00,30.22,13.80,11.30,9.46,9.56,8.99,9.43,75.42,19.76,17.05,45957.00,14.85,60.46,91.92,73.50,5.38,7.39,14.99,9.65,12.32,14.97,993.75,540.80,755.25,257.86,97.52,0.46,-2.03,4966.17
AGI Infra,539042,AGIIL,Construction,857.05,28.19,29.92,,74.26,66.79,,0.14,0.09,0.65,,0.00,0.00,0.71,28.84,24.81,22.38,21.81,,27.35,8.05,26.73,,1443.00,1.97,4.18,20.36,54.87,5.49,6.44,14.18,9.71,9.71,10.30,101.83,64.06,145.08,,9.04,0.00,0.00,1047.03
Agio Paper,516020,,Paper,5.35,,,1.61,-13.51,4.69,-1.47,0.04,0.02,0.03,0.04,,,0.00,-2.33,-2.77,-3.26,-2.06,,,,,,8145.00,0.00,85.17,,,-5.39,-5.36,,0.44,,,2.87,4.11,2.98,3.72,-7750.17,0.00,0.00,8.63
Agni Green,,AGNI,Electric Equipment,45.20,-0.49,-0.99,,,,,5.62,3.84,,,0.00,1.12,0.00,3.07,3.46,3.46,4.26,,,,3.83,,402.00,0.00,270.14,186.95,276.32,-0.32,-0.66,186.54,186.54,186.54,186.54,,,,,384.88,,,88.30
Agri-Tech India,537292,AGRITECH,Miscellaneous,236.07,1.59,3.15,0.59,150.10,180.30,27.17,0.00,0.00,0.40,0.07,0.00,0.00,0.00,3.29,1.91,1.18,0.34,0.55,0.85,65.73,-291.94,-349.44,23355.00,0.00,0.00,0.00,0.00,1.38,2.63,33.24,10.92,16.54,40.91,18.32,29.76,22.72,4.31,128494.07,0.01,-0.03,140.23
Agro Phos India,,AGROPHOS,Fertilizers,45.99,5.57,3.59,0.29,20.54,18.95,,1.47,2.07,3.00,3.94,0.00,0.00,0.10,7.53,8.93,8.73,12.10,7.89,4.99,,2.74,3.87,20728.00,2.90,41.41,100.90,116.81,3.21,2.30,12.10,13.09,13.82,10.81,23.72,142.32,44.60,,139.93,0.00,-0.01,93.24
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,883.75,4.91,3.30,2.44,178.93,167.73,128.77,5.62,6.41,4.62,4.30,0.00,0.00,7.31,4.72,6.81,8.91,9.94,6.70,5.96,-28.38,6.00,6.87,14754.00,49.00,31.17,15.22,35.90,4.03,2.58,112.39,52.43,67.39,97.15,2030.08,1454.60,1316.67,1232.48,77.34,-6.90,5.21,2153.70
AGS Transact,543451,AGSTRA,Computers - Hardware,84.59,0.64,-8.08,,,,,5.04,4.42,2.64,,0.00,0.00,2.37,7.76,10.07,11.06,11.06,,2.76,,22.53,,108075.00,0.00,174.01,167.84,89.54,0.19,-1.70,25.59,25.59,25.59,25.59,,,,,112.37,,,1034.14
Ahasolar Technol,543941,,Trading,432.30,36.25,35.17,,,,,2.18,-1.38,,,0.00,0.00,0.00,60.10,46.59,46.59,46.59,,,,3.49,,,0.00,35.64,40.77,20.28,20.17,30.34,55.73,55.73,55.73,55.73,,,,,26.18,,,133.25
Ahimsa Industrie,,AHIMSA,Plastics Products,27.60,-3.17,-3.73,0.40,24.31,24.15,,2.75,3.81,13.67,6.88,0.00,0.00,0.00,-1.80,-0.39,1.89,4.55,1.06,-1.17,,3.62,5.60,76.00,0.00,104.62,102.93,155.01,-1.89,-2.49,30.49,20.36,20.58,65.79,10.84,13.14,14.23,,204.78,0.00,0.00,15.11
Ahlada Engineers,,AHLADA,Steel - Medium / Small,112.14,6.95,6.36,,92.11,85.32,,3.25,2.38,2.21,,0.00,0.00,1.09,10.00,10.25,13.38,13.81,,8.67,-7.80,17.04,,5365.00,23.49,135.86,120.80,146.11,4.13,3.85,21.22,16.47,16.47,17.54,118.23,120.42,,,155.13,0.02,-10.36,144.90
Ahluwalia Contr.,532811,AHLUCONT,Construction,1357.05,14.13,16.58,6.70,131.18,119.85,50.39,3.65,5.01,4.03,3.31,0.00,0.00,1.61,24.48,20.97,23.46,24.16,15.89,15.02,-0.99,9.48,10.50,12653.00,1.19,69.52,68.95,107.71,6.45,8.08,22.53,25.05,23.08,23.09,2004.27,2176.09,2101.74,254.34,45.84,1.34,-1.46,9090.55
Ahm. Steelcraft,522273,,Trading,165.35,-3.69,-4.68,0.41,62.46,60.65,60.48,,,66.09,,95.36,0.00,0.00,-5.01,-3.80,-1.87,-1.87,-1.83,-1.80,,-77.90,-42.63,2855.00,0.00,560.88,289.74,69.17,-3.65,-4.64,,7.77,6.59,5.95,5.93,6.18,7.80,6.59,684.71,0.00,0.00,67.63
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,52.53,-27.89,-40.16,2.74,22.33,25.49,35.44,0.26,0.43,0.39,1.19,21.10,0.00,0.00,-23.54,-14.97,-9.28,-5.99,-15.17,-19.46,,-28.20,-5.13,3267.00,0.00,91.15,87.18,43.02,-7.00,-9.81,8.47,12.62,11.57,10.02,31.61,43.64,74.72,42.78,1140.29,0.00,0.00,161.55
AIA Engineering,532683,AIAENG,Castings & Forgings,4499.05,16.63,17.62,9.43,449.99,392.42,220.91,1.86,1.89,2.24,2.44,77.97,0.00,145.22,21.64,20.09,19.93,21.86,16.87,16.28,4.57,24.25,24.65,37942.00,13.76,70.70,80.88,84.00,14.46,15.48,30.79,29.53,31.10,30.26,19361.15,16940.89,14976.66,5271.10,239.41,-1.31,1.43,42435.21
Aik Pipes & Poly,544072,,Plastics Products,160.00,,32.19,,,,,74.52,,,,0.00,0.00,0.00,27.03,22.80,22.80,22.80,,,,8.83,,,0.00,117.89,193.36,,,13.33,8.47,8.47,8.47,8.47,,,,,129.95,,,101.81
Aimco Pesticides,524288,,Pesticides / Agrochemicals - Indian,97.35,3.33,-1.28,0.92,42.58,40.34,3.90,2.38,2.76,3.54,11.29,0.00,0.00,1.05,3.83,10.74,18.05,42.10,12.96,7.46,,2.71,3.38,11904.00,-8.59,57.77,53.14,29.24,1.24,-0.40,21.47,19.17,17.79,17.38,85.24,122.75,86.87,12.01,28.93,0.00,-0.01,93.29
Aimtron,,AIMTRON,Electronics - Components,512.50,,26.21,,,,,,,,,0.00,,,22.12,22.12,22.12,22.12,,,,,,,0.00,36.71,89.49,,,7.86,59.66,59.66,59.66,59.66,,,,,96.89,,,1046.21
Aion-Tech Soluti,531439,GOLDTECH,Computers - Software - Medium / Small,133.73,-0.68,-0.63,1.88,23.37,23.78,36.60,,,,,21.40,0.00,0.00,1.29,1.00,1.01,0.12,-0.99,-0.35,-15.80,0.32,1.05,16105.00,0.00,85.68,74.15,77.39,-0.42,-0.32,416.82,20.69,66.12,335.31,16.25,22.91,21.22,6.86,126.07,0.00,-0.01,462.47
