Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization
Multipurpose Trd,504356,,Finance & Investments,10.50,0.35,62.86,0.19,4.44,0.38,0.00,0.35,0.22,0.00,0.22,0.00,0.22,0.01,0.21,0.02,0.19,0.00,0.19,0.00,0.00,0.05,62.86,54.29,0.22,0.01,0.00,0.38,0.22,0.19,0.02,0.02,0.00,202403.00,0.34,0.21,0.00,0.21,0.00,0.21,0.01,0.20,0.00,0.20,0.00,0.20,0.00,61.76,58.82,0.40,0.35,0.19,5.20
Munjal Auto Inds,520059,MUNJALAU,Auto Ancillaries,108.89,1881.76,6.40,45.44,14.77,3.85,0.00,1881.76,120.34,24.14,156.41,55.72,100.69,27.52,61.24,23.21,45.44,-11.93,38.03,20.00,70.21,185.36,6.40,2.41,120.34,27.52,55.72,3.85,100.69,38.03,18.89,23.21,24.14,202403.00,1984.29,90.08,60.25,102.82,53.02,49.80,27.06,70.25,18.63,21.51,47.51,51.63,20.00,4.54,1.08,5.61,1958.26,4.09,1088.90
Munjal Showa,520043,MUNJALSHOW,Auto Ancillaries,177.31,1172.73,1.34,28.84,5.21,7.69,0.00,1172.73,15.70,33.11,46.54,12.29,34.25,0.23,36.29,5.53,28.84,2.27,30.77,18.00,77.44,114.85,1.34,2.46,15.70,0.23,12.29,7.69,34.25,30.77,3.08,5.53,33.11,202403.00,1240.54,30.38,23.82,41.63,11.78,29.85,0.23,42.19,10.28,22.21,12.57,31.90,18.00,2.45,1.79,7.98,1177.30,44.14,709.15
Munoth Capital,511200,,Finance & Investments,169.75,0.11,-554.55,-0.22,-4.15,-0.24,0.00,0.11,-0.61,0.40,-0.21,0.01,-0.22,0.00,-0.22,0.00,-0.22,0.00,-0.22,0.00,0.00,0.21,-554.55,-200.00,-0.61,0.00,0.01,-0.24,-0.22,-0.22,0.00,0.00,0.40,202403.00,0.30,-0.27,0.01,-0.26,0.00,-0.26,0.00,-0.26,0.00,-0.26,0.00,-0.26,0.00,-90.00,-86.67,-0.29,0.18,-0.33,155.59
Munoth Commun.,511401,,Trading,12.56,0.00,,-0.32,0.25,-0.33,0.00,0.00,-0.23,0.30,0.07,0.03,0.04,0.14,-0.10,0.22,-0.32,0.00,-0.32,0.00,,0.10,,,-0.23,0.14,0.03,-0.33,0.04,-0.32,0.23,0.22,0.30,202403.00,0.00,-0.94,0.00,-0.94,0.03,-0.97,0.19,-1.16,0.00,-1.16,0.00,-1.16,0.00,,-1533.33,-1.20,0.00,-1.08,12.12
Munoth Fin.Serv.,531821,,Finance & Investments,67.63,1.05,19.05,0.19,1.71,0.37,0.00,1.05,0.20,0.01,0.21,0.02,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.00,0.35,19.05,18.10,0.20,0.00,0.02,0.37,0.19,0.19,0.00,0.00,0.01,202403.00,0.51,-0.19,0.00,-0.19,0.02,-0.21,0.01,-0.22,0.00,-0.23,0.00,-0.23,0.00,-37.25,-45.10,-0.45,1.28,0.26,34.76
Murae Organisor,542724,,Trading,1.50,2.54,-44.49,0.05,0.79,0.00,0.00,2.54,-1.13,1.52,0.39,0.06,0.33,0.26,0.07,0.02,0.05,0.00,0.05,0.00,121.65,0.05,-44.49,1.97,-1.13,0.26,0.06,0.00,0.33,0.05,0.02,0.02,1.52,202403.00,14.09,0.93,2.26,3.19,0.10,3.09,0.29,2.80,0.81,1.98,0.00,1.98,0.00,6.60,14.05,0.06,4.07,-0.85,37.07
Murudesh.Ceramic,515037,MURUDCERA,Ceramics - Tiles / Sanitaryware,57.46,191.88,16.04,5.92,4.77,1.00,0.00,186.31,30.09,4.44,34.53,12.00,22.53,11.04,11.49,6.36,5.13,0.00,5.13,0.00,23.79,27.44,16.15,2.75,30.77,11.16,12.61,0.85,22.73,5.92,2.21,5.65,4.57,202403.00,170.49,30.83,1.00,31.83,11.10,20.73,13.36,7.37,0.77,6.60,0.00,6.60,2.88,18.08,3.87,1.14,186.31,5.12,347.89
Music Broadcast,540366,RADIOCITY,Entertainment / Electronic Media Software,16.51,235.11,15.02,8.49,3.35,0.25,0.00,228.54,33.15,23.08,54.53,33.43,21.10,9.90,12.90,6.05,6.43,1.70,6.84,0.00,0.00,69.42,14.51,2.81,35.32,10.32,33.73,0.20,25.64,8.49,2.62,6.84,24.05,202403.00,198.86,23.07,19.70,41.24,32.80,8.44,3.91,6.06,2.62,2.48,1.53,3.44,0.00,11.60,1.25,0.10,228.54,6.85,570.73
Muthoot Cap.Serv,511766,MUTHOOTCAP,Finance & Investments,338.05,398.40,58.71,51.12,10.15,74.58,0.00,398.40,233.91,98.85,236.91,0.86,236.05,167.56,164.34,41.68,51.12,95.85,122.66,0.00,0.00,79.97,58.71,12.83,233.91,167.56,0.86,74.58,236.05,122.66,4.60,41.68,98.85,202403.00,444.20,335.62,0.42,336.04,0.65,335.39,226.59,108.80,30.12,78.68,0.00,78.68,0.00,75.56,17.71,47.84,415.98,136.93,556.01
Muthoot Finance,533398,MUTHOOTFIN,Finance & Investments,1877.65,12635.01,80.02,4049.67,13.13,100.87,0.00,12635.01,10110.13,59.04,10169.17,65.63,10103.54,4654.76,5448.78,1399.12,4049.67,0.00,4049.67,963.50,0.00,1386.92,80.02,32.05,10110.13,4654.76,65.63,100.87,10103.54,4049.67,1410.96,1399.12,59.04,202403.00,10514.85,8405.15,28.90,8434.05,58.31,8375.74,3709.31,4666.43,1192.89,3473.53,0.00,3473.53,883.19,79.94,33.03,86.52,12079.52,3896.04,75380.87
Muthoot Microfin,544055,MUTHOOTMF,Finance & Investments,239.17,2270.59,65.43,449.58,14.97,26.37,0.00,2270.59,1485.54,14.90,1500.44,35.44,1465.00,883.16,581.84,132.26,449.58,0.00,449.58,0.00,0.00,448.66,65.43,19.80,1485.54,883.16,35.44,26.37,1465.00,449.58,121.78,132.26,14.90,202403.00,1429.10,771.24,17.25,788.49,26.61,761.88,549.01,212.87,48.98,163.89,0.00,163.89,0.00,53.97,11.47,14.03,2067.22,424.38,4077.66
My Money Sec.,538862,,Finance & Investments,15.41,3.18,60.38,2.08,12.01,1.24,0.00,3.18,1.92,0.50,2.42,0.05,2.37,0.15,2.22,0.13,2.08,0.00,2.08,0.00,0.00,0.60,60.38,65.41,1.92,0.15,0.05,1.24,2.37,2.08,0.12,0.13,0.50,202403.00,1.01,0.24,0.00,0.24,0.03,0.21,0.09,0.12,-0.14,0.26,0.00,0.26,0.00,23.76,25.74,0.16,1.84,1.11,25.89
Mysore Petro,506734,,Trading,194.00,41.94,-28.35,3.28,4.22,17.83,0.00,28.05,-6.85,17.28,10.43,0.80,9.63,0.29,9.34,2.49,6.85,0.00,6.85,1.65,95.51,3.45,-24.42,24.42,-11.89,0.64,1.68,11.35,4.58,10.37,1.90,5.57,30.17,202403.00,18.41,-7.14,35.05,25.46,0.43,25.03,0.58,26.90,6.18,18.83,2.45,20.72,1.65,-38.78,102.28,31.47,28.05,6.85,127.72
Mystic Electron.,535205,,Trading,4.56,0.00,,0.28,1.09,-0.75,0.00,0.00,-0.23,-1.24,0.32,0.00,0.32,0.00,-1.47,0.01,0.28,-1.79,-1.49,0.00,,0.14,,,-0.23,0.00,0.00,-0.75,0.32,-1.49,0.01,0.01,-1.24,202403.00,-0.05,-0.71,-2.72,3.88,0.00,3.88,0.00,-3.43,0.00,3.88,-7.31,-3.43,0.00,-1420.00,,-1.74,0.00,-0.35,9.01
N D Metal Inds.,512024,,Mining / Minerals / Metals,104.50,0.06,-833.33,0.13,4.42,0.52,0.00,0.06,-0.50,0.83,0.33,0.14,0.19,0.00,0.19,0.06,0.13,0.00,0.13,0.00,33.33,0.16,-833.33,216.67,-0.50,0.00,0.14,0.52,0.19,0.13,0.03,0.06,0.83,202403.00,0.03,-0.67,1.03,0.36,0.14,0.22,0.00,0.22,0.03,0.18,0.00,0.18,0.00,-2233.33,600.00,0.73,0.09,0.34,25.92
N G Industries,530897,,Healthcare,169.65,16.88,11.61,5.03,17.76,15.01,0.00,16.88,1.96,4.51,6.47,0.60,5.87,0.02,5.85,0.82,5.03,0.00,5.03,1.17,25.83,2.13,11.61,29.80,1.96,0.02,0.60,15.01,5.87,5.03,0.79,0.82,4.51,202403.00,18.70,1.89,8.37,2.27,0.52,1.75,0.09,9.65,1.33,1.42,7.99,8.32,1.17,10.11,7.59,24.83,17.01,4.25,56.83
N K Industries,519494,NKIND,Solvent Extraction,58.88,19.23,14.04,-0.26,,-0.43,0.00,19.72,1.99,0.00,1.99,3.05,-1.06,0.00,-1.06,-0.03,-1.03,0.00,-1.03,0.00,0.00,3.12,10.09,-5.22,2.70,0.00,2.97,-1.71,-0.27,-0.26,0.00,-0.01,0.00,202403.00,17.77,1.31,0.40,1.69,3.69,-2.00,0.38,-2.36,-0.50,-1.88,0.02,-1.86,0.00,7.37,-10.58,-3.09,19.73,-1.03,35.39
N R Agarwal Inds,516082,NRAIL,Paper,460.90,1293.13,13.83,127.71,14.11,73.72,0.00,1293.13,178.79,6.79,188.26,37.41,150.85,10.54,137.63,12.17,127.71,-2.68,125.46,3.40,54.08,80.61,13.83,9.88,178.79,10.54,37.41,73.72,150.85,125.46,22.32,12.17,6.79,202403.00,1766.07,186.10,11.24,198.53,35.81,162.72,13.79,147.74,48.44,100.10,-1.19,99.30,0.00,10.54,5.67,58.35,1432.30,129.68,784.41
N2N Technologies,512279,,Computers - Software - Medium / Small,22.90,1.61,-1.24,-0.03,-0.70,-0.09,0.00,1.61,-0.02,0.00,-0.02,0.02,-0.04,0.00,-0.04,0.00,-0.03,0.00,-0.03,0.00,0.00,1.29,-1.24,-1.86,-0.02,0.00,0.02,-0.09,-0.04,-0.03,0.00,0.00,0.00,202403.00,0.61,0.03,0.00,0.03,0.01,0.02,0.01,0.01,-0.02,0.03,0.00,0.03,0.00,4.92,4.92,0.09,1.63,0.10,7.39
Naapbooks,543351,,Computers - Software - Medium / Small,70.00,7.77,36.42,1.66,27.98,1.84,0.00,7.77,2.83,0.01,2.84,0.49,2.35,0.15,2.20,0.55,1.66,0.00,1.66,0.00,0.00,1.29,36.42,21.36,2.83,0.15,0.49,1.84,2.35,1.66,0.56,0.55,0.01,202403.00,5.21,1.35,0.06,1.41,0.47,0.94,0.07,0.87,0.24,0.63,0.00,0.63,0.00,25.91,12.09,1.07,,,63.14
NACL Industries,524709,NACLIND,Pesticides / Agrochemicals - Indian,66.78,1778.73,0.96,-58.89,-0.04,-2.96,-0.08,1778.73,17.02,9.64,26.66,27.24,-0.58,75.72,-76.30,-17.41,-58.89,0.00,-58.89,0.00,77.83,134.37,0.96,-3.31,17.02,75.72,27.24,-2.96,-0.58,-58.89,0.00,-17.41,9.64,202403.00,2115.51,193.41,10.48,204.78,28.15,176.63,47.33,128.41,33.54,95.51,-0.89,94.87,13.92,9.14,4.51,4.77,1920.27,-16.35,1331.49
Nag. Agri Tech.,531832,,Miscellaneous,25.42,2.47,-25.51,-0.45,-9.43,3.82,0.01,2.47,-0.63,4.89,-0.36,0.09,-0.45,0.00,4.17,0.59,-0.45,4.62,3.58,0.00,0.40,0.30,-25.51,-18.22,-0.63,0.00,0.09,3.82,-0.45,3.58,0.59,0.59,4.89,202403.00,2.65,-0.03,0.00,-0.03,0.13,-0.16,0.01,-0.17,0.00,-0.17,0.00,-0.17,0.00,-1.13,-6.42,-0.18,3.15,11.99,23.82
Naga Dhunseri,,NDGL,Finance & Investments,3122.00,29.07,93.46,33.84,4.71,338.40,0.00,29.07,27.17,10.56,37.73,0.53,37.20,0.46,36.74,2.90,33.84,0.00,33.84,0.25,0.00,0.98,93.46,116.41,27.17,0.46,0.53,338.40,37.20,33.84,1.14,2.90,10.56,202403.00,10.95,9.31,63.21,72.52,0.50,72.02,0.44,71.58,1.16,70.42,0.00,70.42,0.25,85.02,643.11,704.20,25.73,36.95,312.20
Nagarjuna Fert.,539917,NAGAFERT,Fertilizers,11.71,4765.39,-16.60,-1283.99,-106.02,-21.47,-0.89,4765.39,-790.85,21.93,-768.92,49.69,-818.61,479.13,-1297.74,-13.74,-1283.99,0.00,-1283.99,0.00,51.48,97.50,-16.60,-26.94,-790.85,479.13,49.69,-21.47,-818.61,-1283.99,0.00,-13.74,21.93,202403.00,5642.20,-595.41,63.44,-532.04,79.27,-611.31,525.94,-1137.18,-237.05,-900.20,0.07,-900.13,0.00,-10.55,-15.95,-15.05,4440.64,-1657.64,700.33
Nagpur Power,532362,,Mining / Minerals / Metals,138.25,46.60,0.60,-0.63,1.28,-0.48,0.00,46.60,0.28,3.84,4.12,2.87,1.25,1.88,-0.63,0.00,-0.63,0.00,-0.63,0.00,35.52,16.51,0.60,-1.35,0.28,1.88,2.87,-0.48,1.25,-0.63,0.00,0.00,3.84,202403.00,43.83,-0.29,1.11,0.39,2.96,-2.57,1.47,-3.61,0.11,-4.06,0.43,-3.73,0.00,-0.66,-9.49,-2.78,42.66,-1.47,181.11
Nagreeka Cap.,532895,NAGREEKCAP,Finance & Investments,26.50,62.88,52.93,13.34,32.37,10.57,0.00,62.88,33.28,0.00,33.28,0.04,33.24,6.69,26.55,13.21,13.34,0.00,13.34,0.00,44.40,0.20,52.93,21.22,33.28,6.69,0.04,10.57,33.24,13.34,0.01,13.21,0.00,202403.00,21.84,9.60,0.57,10.13,0.04,10.09,7.66,2.47,38.76,-35.69,0.04,-36.29,0.00,43.96,-163.42,-28.77,48.51,-27.90,33.44
Nagreeka Exports,521109,NAGREEKEXP,Textiles - Cotton/Blended,39.23,559.03,4.48,6.01,6.17,1.92,0.00,559.03,25.05,0.89,25.94,7.30,18.64,13.19,5.45,-0.55,6.01,0.00,6.01,0.00,78.48,27.87,4.48,1.08,25.05,13.19,7.30,1.92,18.64,6.01,2.07,-0.55,0.89,202403.00,388.51,16.33,2.09,18.61,7.31,11.30,10.71,0.40,-2.63,3.22,-0.19,3.03,0.00,4.20,0.83,0.97,545.50,9.64,122.59
Nahar Capital,532952,NAHARCAP,Finance & Investments,324.15,23.88,-49.25,11.77,1.25,7.03,0.11,23.88,-11.76,27.90,16.14,1.04,15.10,0.14,14.96,3.19,11.77,0.00,11.77,0.00,0.00,6.53,-49.25,49.29,-11.76,0.14,1.04,7.03,15.10,11.77,6.60,3.19,27.90,202403.00,33.26,25.26,69.15,94.41,1.03,93.38,0.13,93.25,-13.48,106.72,0.00,106.72,2.51,75.95,320.87,63.73,22.94,18.55,542.63
Nahar Indl. Ent.,519136,NAHARINDUS,Textiles - Cotton/Blended,158.18,1471.76,3.85,11.20,3.09,2.23,0.00,1471.76,56.64,29.36,87.90,45.83,42.07,28.67,11.50,1.89,11.20,-1.90,9.62,0.00,58.29,166.79,3.85,0.76,56.64,28.67,45.83,2.23,42.07,9.62,1.89,1.89,29.36,202403.00,1773.87,146.30,40.80,162.02,48.34,113.68,37.66,101.10,21.83,59.61,25.08,79.27,0.00,8.25,3.36,18.35,1497.05,3.92,683.43
Nahar Poly,523391,NAHARPOLY,Packaging,306.45,599.93,3.55,5.68,-0.04,2.31,0.40,599.93,21.32,10.70,32.02,32.43,-0.41,12.04,-12.45,-2.97,5.68,0.00,5.68,2.46,76.42,24.86,3.55,0.95,21.32,12.04,32.43,2.31,-0.41,5.68,0.34,-2.97,10.70,202403.00,723.19,81.69,4.86,86.31,32.24,54.07,12.38,41.93,10.97,43.02,0.24,43.20,3.77,11.30,5.95,17.57,595.65,8.74,753.50
Nahar Spinning,500296,NAHARSPING,Textiles - Products,353.50,3050.02,2.74,-45.21,0.43,-14.15,0.03,3050.02,83.56,9.68,99.11,88.48,10.63,66.15,-61.39,-10.30,-45.21,-5.87,-51.08,3.61,69.16,291.52,2.74,-1.48,83.56,66.15,88.48,-14.15,10.63,-51.08,-10.30,-10.30,9.68,202403.00,2796.91,216.17,39.97,255.77,72.56,183.21,33.24,150.34,39.55,110.52,0.37,110.79,5.42,7.73,3.95,30.69,2958.33,-40.93,1274.91
Nakoda Group,541418,NGIL,Food - Processing - Indian,38.82,47.12,0.83,-2.12,-1.81,-1.19,-3.95,47.12,0.39,0.01,0.40,1.08,-0.68,2.18,-2.86,-0.74,-2.12,0.00,-2.12,0.00,88.79,1.09,0.83,-4.50,0.39,2.18,1.08,-1.19,-0.68,-2.12,0.00,-0.74,0.01,202403.00,54.60,4.24,0.06,4.30,0.99,3.31,2.13,1.18,0.27,0.91,0.00,0.91,0.17,7.77,1.67,0.41,49.09,-0.71,56.60
Naksh Precious,539402,,Trading,9.31,0.49,-4.08,0.03,-0.66,0.03,0.00,0.49,-0.02,0.01,-0.01,0.04,-0.05,0.00,-0.05,-0.08,0.03,0.00,0.03,0.00,83.67,0.01,-4.08,6.12,-0.02,0.00,0.04,0.03,-0.05,0.03,0.00,-0.08,0.01,202403.00,0.09,-0.05,0.10,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-55.56,0.00,0.00,0.09,0.05,9.79
Nalin Lease Fin.,531212,,Finance & Investments,54.30,6.99,72.25,4.33,17.21,6.60,0.00,6.66,4.71,1.06,5.77,0.17,5.60,0.43,5.17,1.32,3.85,0.00,3.85,0.00,0.00,0.91,70.72,57.81,5.05,0.49,0.16,5.87,6.01,4.33,1.20,1.17,1.12,202403.00,5.95,4.27,-0.05,4.27,0.15,4.12,0.08,3.99,1.01,3.02,-0.05,2.99,0.00,71.76,50.76,4.56,6.67,3.84,35.61
Nalwa Sons Invst,532256,NSIL,Finance & Investments,4389.25,88.40,84.29,56.27,0.73,109.56,0.00,88.40,74.51,1.20,75.71,0.02,75.69,0.16,75.53,19.25,56.27,0.00,56.28,0.00,12.86,0.74,84.29,63.67,74.51,0.16,0.02,109.56,75.69,56.28,14.30,19.25,1.20,202403.00,133.57,125.24,0.00,125.24,0.02,125.22,0.88,124.34,31.76,90.92,0.00,92.58,0.00,93.76,69.31,177.02,87.06,60.10,2256.07
Nam Securities,538395,,Finance & Investments,135.50,108.85,-0.16,0.33,4.16,0.61,0.00,108.85,-0.17,0.71,0.54,0.09,0.45,0.01,0.44,0.11,0.33,0.00,0.33,0.00,98.80,0.41,-0.16,0.30,-0.17,0.01,0.09,0.61,0.45,0.33,0.11,0.11,0.71,202403.00,72.29,0.14,0.00,0.14,0.08,0.06,0.00,0.06,0.03,0.03,0.00,0.03,0.00,0.19,0.04,0.06,97.20,0.09,73.06
Naman In-Store,,NAMAN,Engineering,140.20,144.74,14.07,9.27,47.05,8.79,-27.00,144.74,20.37,0.13,20.50,3.89,16.61,4.28,12.33,3.06,9.27,0.00,9.27,0.00,49.34,8.97,14.07,6.40,20.37,4.28,3.89,8.79,16.61,9.27,3.37,3.06,0.13,202403.00,149.85,10.64,0.09,10.73,2.28,8.45,3.13,5.32,1.51,3.82,0.00,3.82,0.00,7.10,2.55,27.29,,,147.88
Nanavati Venture,543522,,Trading,59.00,25.83,-0.08,0.21,3.31,0.43,0.00,25.83,-0.02,0.31,0.30,0.02,0.28,0.00,0.27,0.07,0.21,-0.01,0.20,0.00,98.84,0.21,-0.08,0.81,-0.02,0.00,0.02,0.43,0.28,0.20,0.07,0.07,0.31,202403.00,15.99,0.23,-0.10,0.29,0.01,0.28,0.00,0.12,0.03,0.20,-0.16,0.09,0.00,1.44,1.25,0.55,,,27.55
Nandan Denim,532641,NDL,Textiles - Products,48.98,2010.09,5.89,44.97,11.70,3.12,-6.40,2010.09,118.32,34.59,152.91,40.55,112.36,47.23,65.13,20.15,44.97,0.00,44.97,0.00,81.10,74.23,5.89,2.24,118.32,47.23,40.55,3.12,112.36,44.97,0.00,20.15,34.59,202403.00,2026.76,84.36,11.62,94.93,37.19,57.74,53.38,5.41,4.62,0.31,1.05,0.80,0.00,4.16,0.02,0.06,1888.13,20.63,706.03
Nandani Creation,,JAIPURKURT,Textiles - Products,37.76,45.11,9.53,0.55,6.39,0.33,-0.22,45.11,4.30,0.74,5.04,1.95,3.09,2.54,0.55,0.01,0.55,0.00,0.55,0.00,48.55,3.43,9.53,1.22,4.30,2.54,1.95,0.33,3.09,0.55,0.21,0.01,0.74,202403.00,48.84,3.96,0.66,4.52,1.84,2.68,2.64,0.14,0.03,0.18,0.10,0.11,0.00,8.11,0.37,0.07,36.14,-1.10,65.18
Naperol Invest.,500298,,Finance & Investments,1100.50,1.92,-28.12,-0.37,-0.08,-0.65,0.00,1.91,-0.62,0.01,-0.61,0.00,-0.61,0.00,-0.61,-0.25,-0.37,0.00,-0.37,0.00,0.00,1.42,-32.46,-19.37,-0.54,0.00,0.00,-0.65,-0.54,-0.37,0.66,-0.18,0.00,202403.00,1.89,-0.24,376.33,-0.24,0.00,-0.24,0.00,376.09,0.84,-0.24,376.33,375.25,0.58,-12.70,-12.70,658.33,1.92,-0.36,632.46
Narayana Hrudaya,539551,NH,Healthcare,1230.80,5129.26,23.11,806.69,26.18,39.47,0.00,5018.25,1152.36,75.19,1227.55,242.14,985.41,96.88,888.53,98.90,789.26,0.00,789.62,81.74,21.40,1004.30,22.96,15.73,1185.49,109.96,244.90,38.62,1024.24,807.08,136.73,107.21,83.65,202403.00,4524.77,986.88,58.83,1035.96,210.04,825.92,84.09,751.58,145.01,598.38,9.75,606.57,51.09,21.81,13.23,29.67,5021.74,789.62,25152.73
Narbada Gems,519455,,Diamond Cutting / Jewellery,54.11,84.32,10.33,5.08,11.66,2.40,0.00,84.32,8.71,0.30,9.01,0.37,8.64,1.76,6.88,1.80,5.08,0.00,5.08,0.00,82.16,4.10,10.33,6.02,8.71,1.76,0.37,2.40,8.64,5.08,1.80,1.80,0.30,202403.00,93.05,5.71,0.51,6.14,0.21,5.93,1.31,4.70,1.14,3.49,0.08,3.55,0.00,6.14,3.75,1.68,94.18,6.97,114.48
Narendra Prop.,531416,,Construction,46.15,15.71,7.45,1.50,8.16,2.11,0.00,18.63,2.15,0.86,3.01,0.02,2.99,0.00,2.99,0.75,2.25,0.00,2.25,0.71,74.24,0.53,11.54,12.08,1.17,0.00,0.03,3.17,2.25,1.50,0.75,0.75,1.11,202403.00,0.00,-2.12,7.76,-2.11,0.00,-2.11,0.72,4.92,0.62,-2.83,7.75,4.30,0.72,,38.32,6.05,18.64,2.24,32.81
Narmada Agrobase,543643,NARMADA,Miscellaneous,21.02,49.74,5.07,1.02,8.79,0.75,-5.91,49.74,2.52,0.07,2.59,0.28,2.31,0.96,1.35,0.33,1.02,0.00,1.02,0.00,86.67,1.43,5.07,2.05,2.52,0.96,0.28,0.75,2.31,1.02,0.35,0.33,0.07,202403.00,49.48,2.02,0.05,2.07,0.32,1.75,0.86,0.89,0.24,0.65,0.00,0.65,0.00,4.08,1.31,0.48,49.84,0.51,28.48
Narmada Gelatine,526739,,Chemicals,411.35,181.80,12.54,15.38,22.23,25.42,0.00,181.80,22.80,1.61,24.41,3.54,20.87,0.29,20.58,5.20,15.38,0.00,15.38,6.05,59.46,14.82,12.54,8.46,22.80,0.29,3.54,25.42,20.87,15.38,5.28,5.20,1.61,202403.00,191.14,19.76,2.29,20.64,1.92,18.72,0.31,19.82,4.54,14.30,1.41,15.28,60.50,10.34,7.48,25.26,182.19,15.06,248.85
Narmada Macplast,517431,,Plastics Products,24.63,1.81,-8.84,0.00,1.40,0.00,0.00,1.81,-0.16,0.22,0.06,0.02,0.04,0.03,0.01,0.01,0.00,0.00,0.00,0.00,94.48,0.14,-8.84,0.00,-0.16,0.03,0.02,0.00,0.04,0.00,0.01,0.01,0.22,202403.00,10.02,-0.24,0.29,0.05,0.01,0.04,0.03,0.01,0.00,0.01,0.00,0.01,0.00,-2.40,0.10,0.03,1.69,0.13,8.92
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1367.65,3998.80,43.80,1388.30,30.05,77.51,0.00,3998.80,1751.40,128.10,1879.50,186.80,1692.70,19.20,1673.50,285.20,1388.30,0.00,1388.30,170.05,17.92,525.00,43.80,34.72,1751.40,19.20,186.80,77.51,1692.70,1388.30,316.50,285.20,128.10,202403.00,2707.10,935.60,104.60,1022.40,163.80,858.60,14.50,861.90,146.60,700.86,17.80,715.30,100.38,34.56,25.89,39.18,3828.40,1277.80,24495.96
Nath Bio-Genes,537291,NATHBIOGEN,Miscellaneous,235.09,247.52,20.39,36.89,6.85,21.14,0.00,247.52,50.47,4.10,51.12,3.26,47.86,9.19,42.12,1.95,36.89,3.45,40.18,3.80,-3.60,27.98,20.39,14.90,50.47,9.19,3.26,21.14,47.86,40.18,1.95,1.95,4.10,202403.00,234.04,49.13,0.56,49.69,3.01,46.68,10.36,36.32,1.15,35.17,0.00,35.17,3.80,20.99,15.03,18.51,334.51,40.55,446.77
Nath Industries,502587,,Paper,73.69,320.95,3.94,0.49,2.78,0.26,0.00,320.95,12.65,4.27,16.92,6.97,9.95,9.18,0.77,0.27,0.49,0.00,0.49,0.00,61.03,21.92,3.94,0.15,12.65,9.18,6.97,0.26,9.95,0.49,0.00,0.27,4.27,202403.00,399.31,6.99,5.72,12.91,7.13,5.78,5.35,0.23,-2.45,2.64,-0.20,2.67,0.00,1.75,0.66,1.41,331.96,1.68,140.01
National Fitting,531289,,Castings & Forgings,141.00,74.25,13.62,5.42,12.39,13.16,0.00,76.53,11.26,1.49,12.75,3.46,9.29,1.27,8.02,2.18,5.84,0.00,5.84,1.36,32.42,10.55,14.71,7.63,10.11,1.18,3.40,6.43,8.42,11.95,2.23,2.15,8.58,202403.00,86.02,9.59,1.47,10.99,3.43,7.56,1.06,6.57,2.18,4.33,0.07,4.39,1.36,11.15,5.03,4.83,76.53,5.85,128.07
National High,543385,NHIT,Construction,127.75,974.04,78.23,294.20,2.82,2.24,-0.38,974.04,762.02,0.60,762.62,247.71,514.91,280.25,234.66,-59.54,294.20,0.00,294.20,0.00,0.00,11.92,78.23,30.20,762.02,280.25,247.71,2.24,514.91,294.20,8.84,-59.54,0.60,202403.00,697.62,555.98,3.26,559.24,175.61,383.63,166.23,217.40,-39.49,256.90,0.00,256.90,0.00,79.70,36.83,3.54,921.14,291.72,16763.36
National Perox.,544205,,Chemicals,980.90,332.99,11.29,16.79,,,,332.99,37.59,5.16,42.75,19.26,23.49,1.98,21.51,4.72,16.79,0.00,16.79,7.19,48.27,28.51,11.29,5.04,37.59,1.98,19.26,,23.49,16.79,2.83,4.72,5.16,202403.00,,,,,,,,,,,,,,,,,,,563.72
National Plastic,531287,,Plastics Products,406.10,276.43,8.49,8.45,18.05,13.90,0.04,269.22,22.91,0.09,23.00,5.97,17.03,5.33,11.70,3.29,8.42,0.00,8.42,0.61,74.75,16.01,8.51,3.13,23.46,5.44,6.38,13.85,17.16,8.45,2.30,3.30,0.08,202403.00,209.60,17.56,0.19,17.71,3.79,13.92,5.33,8.63,2.48,6.12,0.04,6.15,0.61,8.38,2.92,10.12,269.21,8.42,246.91
