Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
Cont. Controls,531460,,Electric Equipment,13.50,,,18.39,9.43,0.83,-4.13,,,,,,,18.39,9.43,,,,,0.00,-1.09,-0.70,-0.76,-0.48,8.30
Cont. Petroleums,523232,,Chemicals,73.18,-17.99,2.21,6.66,29.83,-10.69,-14.22,13.34,7.19,11.97,11.50,23.18,17.62,6.66,30.02,28.32,17.67,28.19,17.59,0.00,2.87,1.77,5.02,3.34,40.69
Cont. Securities,538868,,Finance & Investments,8.50,24.44,30.97,29.49,66.16,19.05,28.05,21.68,14.44,32.12,62.41,32.21,18.33,23.67,53.22,26.09,28.90,33.61,34.24,1.36,0.50,0.27,0.69,0.38,22.34
Containe Tech.,543606,,Auto Ancillaries,80.30,156.96,39.28,374.75,84.54,52.88,112.08,,,125.56,62.91,,,157.81,27.94,,,,,,0.30,,0.75,,50.14
Container Corpn.,531344,CONCOR,Miscellaneous,1039.50,10.42,4.46,31.83,0.64,5.20,5.93,5.42,5.16,20.13,1.57,5.94,4.43,31.83,0.64,5.74,2.94,5.74,2.94,0.00,992.14,1011.32,1404.19,1399.62,63336.16
Containerway Int,540597,,Miscellaneous,11.36,,,,-1.37,88.89,,,,,-16.74,-12.27,,,-1.24,-8.10,,-8.29,,-59.10,-0.12,-0.09,-0.12,-0.08,7.43
Contil India,531067,,Trading,164.50,26.14,29.82,30.81,40.23,18.69,18.69,90.51,49.10,33.37,40.70,49.89,35.20,30.81,40.23,50.67,33.23,50.67,33.23,0.97,0.70,0.42,0.98,0.58,50.83
Continental Seed,,CONTI,Trading,24.00,0.80,3.54,,,2.64,6.80,7.68,6.00,-14.22,-9.49,-4.33,11.81,,,,,,,0.00,-0.28,0.07,0.39,0.80,24.01
Control Print,522295,CONTROLPR,Computers - Hardware,868.00,20.82,15.52,21.20,15.64,17.59,18.07,13.53,14.71,21.30,17.06,10.48,15.52,22.05,16.12,17.01,12.87,17.35,14.71,0.95,41.03,32.52,52.71,42.32,1388.31
Cool Caps,,COOLCAPS,Plastics Products,330.00,70.17,,4.34,,69.99,69.99,,,28.00,,,,-5.83,,,,,,,,,,,381.48
Coral India Fin.,531556,CORALFINAC,Finance - Housing,50.00,12.62,13.73,16.99,20.37,12.64,12.64,10.73,7.29,14.36,17.91,12.62,10.68,16.99,25.61,17.92,14.43,14.38,12.01,-4.63,15.49,12.39,18.66,15.15,201.50
Coral Labs.,524506,,Pharmaceuticals - Indian - Formulations,634.30,-4.67,-1.69,5.52,9.26,3.32,3.32,-1.87,5.13,5.24,5.40,-2.19,7.30,5.52,9.26,-0.56,7.29,-0.56,7.29,0.00,10.26,11.25,13.48,15.65,226.44
Coral Newsprints,530755,,Paper,11.54,-49.56,-45.38,18.56,-0.33,-7.95,-31.26,-33.99,-25.04,18.84,-9.71,,,18.56,-0.33,,,,,0.00,-1.10,-0.66,-1.10,-0.66,5.83
Cords Cable,532941,CORDSCABLE,Cables - Power,234.00,24.75,8.54,32.49,6.56,12.98,19.29,9.94,9.09,8.88,2.61,4.08,5.34,32.49,6.56,10.05,15.93,10.05,17.37,0.22,7.75,6.36,33.86,31.66,302.51
Coromandel Engg.,533167,,Construction,57.56,-3.79,16.15,16.39,10.04,3.70,22.57,17.45,-6.98,40.55,20.30,23.67,-16.01,16.39,10.04,4.99,4.03,4.99,4.03,0.05,-7.72,-6.85,-2.14,0.31,191.28
Coromandel Inter,506395,COROMANDEL,Fertilizers,1603.25,15.86,10.77,7.17,17.26,7.96,7.96,11.92,8.18,7.95,11.85,14.10,11.61,7.05,17.11,19.20,15.72,19.36,16.17,-0.24,1516.25,1023.98,2180.67,1596.67,47215.81
COSCO (India),530545,,Trading,322.00,6.06,5.85,-10.32,1.23,5.97,10.59,3.74,5.33,1.31,4.39,1.62,3.36,-10.32,1.23,-4.37,-1.33,-4.37,-1.33,0.00,2.41,3.05,8.01,8.64,133.96
