Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Dhanashree Elect,542679,,Electric Equipment,61.00,62.70,14.19,0.00,24.26,20.62,31.49,123.63,12.86,0.00,6.93,5.49,0.00,0.09,114.64,40.41,0.00,0.00,0.00,123.63,93.39,0.00,53.70,34.06,10.00,0.14,0.00,16.88,1.42,52.11,78.39,5.93,12.86,0.00,65.94,57.84,48.23,6.29,44.54,41.62,36.92,6.03,4.33,4.05,4.46,86.56
Dhani Services,532960,DHANI,Finance & Investments,52.25,696.59,121.64,0.00,3323.63,383.92,637.57,4523.12,684.55,0.00,365.43,251.79,0.09,54.89,1392.46,332.29,510.10,0.00,75.96,4523.12,1060.17,43.11,267.96,86.60,2.00,643.29,15.58,21.04,60.32,1021.49,1984.68,319.12,684.55,3.52,2715.57,3123.03,1652.72,461.75,3738.57,8647.84,1519.08,367.87,409.23,118.32,85.73,3151.88
Dhanlaxmi Bank,532180,DHANBANK,Banks - Private Sector,41.11,13844.03,253.01,0.00,708.14,492.38,13351.65,15132.13,496.72,160.10,245.86,250.86,6.72,3888.64,1465.27,326.95,1.33,0.00,968.45,15132.13,1138.32,0.00,0.00,0.00,10.00,846.63,0.00,27.04,25.30,13844.03,1138.32,250.86,496.72,6.72,1223.39,999.79,1201.54,1537.43,11861.90,10803.72,11438.88,13468.79,224.93,169.39,183.05,1040.13
Dhanlaxmi Cotex,512485,,Finance & Investments,70.50,0.00,4.87,0.00,66.78,0.00,0.00,71.80,0.86,0.00,0.13,0.21,0.00,37.80,52.04,0.14,0.00,0.12,0.00,71.80,51.90,0.00,27.24,0.82,10.00,0.68,0.00,0.13,0.49,0.00,31.99,0.73,0.86,0.00,17.00,18.39,22.34,25.77,0.00,0.00,0.00,5.45,0.00,0.00,0.00,34.34
Dhanlaxmi Fabric,521151,,Textiles - Products,71.25,1.42,8.58,0.00,38.85,8.46,1.30,52.73,76.14,0.00,61.42,13.47,14.03,0.00,17.04,4.54,0.00,0.00,5.29,52.73,13.92,0.00,5.31,4.45,10.00,0.19,0.23,2.65,0.86,9.76,20.65,14.71,76.14,13.96,22.27,29.53,28.21,19.80,8.55,23.47,32.98,27.39,20.03,27.46,33.79,61.13
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,1662.05,26.98,9.12,0.00,1246.75,3.81,29.71,1579.13,254.77,0.00,90.16,338.06,28.25,239.64,1025.80,278.14,0.00,206.71,45.26,1579.13,752.18,26.51,417.89,346.77,2.00,1.31,13.78,149.49,4.56,33.52,510.31,164.61,254.77,153.22,406.88,422.91,346.38,280.24,48.43,22.21,7.89,39.41,166.94,116.89,137.84,7575.32
Dhanvantri Jeev.,531043,,Healthcare,21.40,0.00,4.15,0.00,5.32,0.00,0.00,15.02,23.06,0.00,14.52,8.14,0.00,0.00,5.04,3.86,0.00,0.00,0.00,15.02,1.18,0.00,0.13,1.76,10.00,3.15,0.00,0.80,0.41,0.00,0.70,8.54,23.06,0.00,-0.52,-0.69,-0.08,1.94,0.07,0.10,1.94,0.09,9.72,11.44,12.07,8.77
Dharani Finance,511451,,Finance & Investments,7.16,0.13,5.00,0.00,3.63,0.00,0.22,9.19,0.51,0.00,0.27,0.14,0.00,0.12,1.68,0.38,0.00,0.00,0.00,9.19,1.30,0.12,0.00,0.15,10.00,0.02,0.00,0.14,0.50,0.22,1.59,0.24,0.51,0.00,1.32,0.79,2.51,2.87,0.13,0.13,0.00,0.00,0.27,0.30,0.12,3.58
Dharmaj Crop,543687,DHARMAJ,Pesticides / Agrochemicals - Indian,258.25,111.89,33.80,0.00,325.57,44.89,7.52,563.27,59.20,0.00,19.25,314.11,0.39,0.00,244.34,125.73,0.00,0.00,2.02,563.27,154.39,0.00,93.38,118.68,10.00,3.00,3.86,67.44,3.38,52.41,226.78,39.96,59.20,96.25,39.48,17.47,,,26.93,20.35,,,39.09,11.66,,872.81
Dharni Capital,543753,,Finance & Investments,43.40,0.00,2.04,0.00,15.10,0.00,0.00,17.33,0.98,0.00,0.23,0.95,0.00,10.60,5.77,0.19,0.00,0.00,0.00,17.33,5.58,0.00,0.00,0.12,1.00,0.94,0.00,0.00,2.04,0.00,11.57,0.75,0.98,0.00,0.03,0.09,,,0.09,0.26,,,0.16,0.10,,88.41
Dhatre Udyog,540080,,Steel - Medium / Small,17.40,0.00,10.90,0.00,59.54,0.00,1.19,76.40,13.81,0.00,4.62,8.99,0.00,17.98,47.91,5.80,0.00,0.01,0.00,76.40,42.11,0.00,5.43,35.96,1.00,1.36,0.00,4.64,10.90,1.19,47.80,9.19,13.81,0.00,102.56,141.15,130.33,96.63,203.51,122.43,106.68,84.63,15.08,20.92,12.27,189.58
Dhenu Buildcon,501945,,Finance & Investments,2.41,0.00,1.83,0.00,1.16,0.00,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.11,5.65,3.04,0.01,0.00,0.00,0.00,1.00,0.01,0.00,0.00,1.83,0.00,1.17,0.00,0.00,0.00,1.23,1.14,1.20,4.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41
Dhoot Indl.Fin,526971,,Trading,335.15,63.66,6.32,0.00,420.01,67.77,4.61,507.95,11.46,0.00,5.28,5.70,0.71,494.24,136.38,69.35,2.04,342.55,0.45,507.95,130.46,0.00,0.00,4.35,10.00,1.94,2.40,3.43,0.63,72.38,-0.64,6.18,11.46,0.71,-2.90,7.33,28.35,32.42,63.44,18.11,62.02,11.17,7.67,8.67,9.89,211.76
DHP India,531306,,Engineering,739.50,5.13,3.00,0.00,213.86,5.13,0.00,233.08,46.08,0.00,19.73,26.35,0.00,169.38,37.36,9.82,0.00,0.00,1.04,233.08,32.67,0.00,23.86,7.55,10.00,2.59,0.00,1.55,0.30,0.00,33.24,26.24,43.03,0.51,25.07,16.18,11.38,14.99,0.58,3.13,1.77,2.26,9.76,15.00,11.92,221.86
Dhruv Consultanc,541302,DHRUV,Miscellaneous,120.50,20.32,15.89,0.00,50.39,11.41,7.54,114.64,23.53,0.00,6.80,13.65,0.00,0.05,97.87,41.37,0.02,0.00,18.84,114.64,71.54,4.78,0.00,24.10,10.00,6.52,0.00,9.18,1.51,18.95,58.46,16.73,23.53,0.00,41.99,49.30,18.85,3.47,10.46,13.24,14.29,2.23,4.73,7.59,5.47,183.11
Dhruv Wellness,540695,,Trading,10.64,18.67,10.54,0.00,-24.77,15.88,3.83,6.21,3.44,0.00,0.00,3.44,0.00,0.00,2.77,17.64,0.00,0.00,0.00,6.21,1.01,0.00,0.00,2.77,10.00,0.00,0.00,0.05,1.05,19.71,0.98,3.44,3.44,0.00,6.06,24.92,14.47,,19.71,16.56,9.41,,3.50,3.44,0.16,11.21
Dhruva Cap.Serv.,531237,,Finance & Investments,372.30,0.00,4.06,0.00,8.10,0.00,0.03,12.41,2.44,0.00,0.53,0.00,0.00,0.05,0.40,0.25,0.00,0.00,0.00,12.41,0.15,0.00,0.00,0.00,10.00,0.23,0.00,0.04,0.33,0.03,-0.18,1.91,2.44,0.00,-0.22,1.90,1.84,1.74,0.03,0.03,0.11,0.26,1.92,1.99,2.07,151.22
Dhunseri Invest.,533336,DHUNINV,Finance & Investments,1408.00,377.00,6.10,0.00,2552.38,339.08,25.50,4422.44,147.58,0.00,69.57,639.17,54.95,3237.71,379.74,76.36,0.00,0.00,0.81,4422.44,303.38,20.66,27.18,4.18,10.00,274.03,0.00,43.60,0.61,364.58,300.14,78.01,147.58,539.75,111.73,78.98,589.11,,66.26,69.76,872.92,,71.63,35.20,583.31,858.48
Dhunseri Tea,538902,DTIL,Tea,217.50,254.85,10.51,0.00,511.49,175.43,5.40,952.54,1036.10,0.00,246.91,709.27,71.94,16.35,131.14,276.53,0.00,0.00,2.09,952.54,46.59,6.96,67.55,18.83,10.00,12.84,0.00,45.18,1.05,180.83,58.26,789.19,1036.10,91.49,78.07,75.54,61.17,,93.79,96.28,115.07,,748.40,768.36,776.07,228.54
Dhunseri Vent.,523736,DVL,Finance & Investments,372.70,376.91,35.03,0.00,2924.16,339.08,25.50,3928.12,146.11,0.00,69.45,627.65,54.84,2772.13,655.64,161.98,0.00,429.68,0.00,3928.12,585.52,20.58,26.87,2.51,10.00,270.15,0.00,43.50,3.50,364.58,308.29,76.67,146.11,536.50,88.32,188.65,48.55,1133.48,72.76,69.76,0.00,2358.77,69.06,34.24,15.51,1305.18
Dhyaani Trade,543516,,Trading,23.00,3.03,1.52,0.00,0.69,0.00,0.00,37.50,0.10,0.00,0.02,0.07,0.00,0.00,30.97,29.52,0.00,0.00,0.00,37.50,1.45,0.00,0.21,30.42,10.00,0.11,0.00,28.88,0.43,0.00,3.20,0.08,0.10,0.00,0.42,0.59,0.04,,0.00,0.45,0.00,,0.00,0.00,0.00,9.79
Diamant Infra.,508860,,Construction,1.13,11.14,7.04,0.00,3.86,9.01,2.34,22.22,2.13,0.00,1.07,1.06,0.00,2.99,18.06,8.92,0.00,0.00,31.74,22.22,17.88,0.00,4.05,7.35,2.00,0.07,0.00,0.15,3.52,11.35,17.94,1.06,2.13,0.00,19.36,23.60,25.03,27.68,12.75,11.65,12.10,20.18,1.09,1.24,0.98,3.98
Diamines & Chem.,500120,DIAMINESQ,Chemicals,522.65,0.00,9.78,0.00,138.33,0.00,0.00,162.68,55.33,0.00,10.56,65.38,0.83,15.76,75.07,10.29,0.00,13.30,1.95,162.68,64.78,0.00,17.36,16.70,10.00,37.90,0.11,5.19,0.98,0.00,56.13,40.06,55.33,21.39,50.57,,,14.17,0.30,,,19.75,22.47,,,511.36
Diamond Power,522163,DIACABS,Cables - Power,1316.65,318.81,52.70,0.00,-1026.04,367.46,0.00,1518.11,1576.49,0.00,506.65,1057.41,197.70,0.00,258.75,136.25,0.00,0.00,9.50,1518.11,122.77,3.11,120.28,58.79,10.00,9.84,8.63,104.07,5.27,367.46,102.19,1069.85,1576.49,188.45,143.79,,922.31,1015.55,1977.26,,1605.45,1272.49,1103.00,,1245.68,6938.37
Diana Tea Co,530959,,Tea,28.00,31.98,7.50,0.00,61.31,34.23,0.30,112.00,78.35,0.00,10.36,71.06,0.03,4.74,34.65,34.83,0.00,0.00,1.55,112.00,23.44,0.00,8.67,0.74,5.00,1.08,0.01,4.10,1.50,34.53,24.03,67.99,78.35,0.30,12.93,8.45,12.74,21.80,22.68,19.11,12.87,6.97,66.15,62.96,53.82,41.97
DIC India,500089,DICIND,Chemicals,529.60,19.68,9.18,0.00,387.15,0.00,24.05,581.07,177.75,0.00,90.13,143.31,14.95,0.30,396.52,178.43,0.00,0.00,9.31,581.07,234.75,4.68,104.29,220.15,10.00,47.09,0.59,116.70,0.92,24.05,265.84,87.62,177.75,77.24,271.42,239.27,225.61,224.12,5.75,50.71,0.00,23.29,79.21,57.28,68.93,486.13
Diggi Multitrade,540811,,Construction,26.17,0.00,9.68,0.00,0.64,0.00,0.00,10.61,0.11,0.00,0.03,0.05,0.00,0.52,9.44,0.29,0.00,0.00,0.00,10.61,9.15,0.00,0.00,2.47,10.00,0.01,0.00,0.02,0.97,0.00,9.97,0.07,0.11,0.00,10.08,10.05,6.61,0.08,0.00,0.00,0.00,0.40,0.00,0.00,0.00,25.33
Digicontent,542685,DGCONTENT,Entertainment / Electronic Media Software,35.94,156.96,11.64,0.00,-10.49,0.00,149.69,239.05,113.27,0.00,25.28,73.43,10.18,10.26,126.85,81.38,0.00,15.06,0.00,239.05,47.02,68.46,0.00,72.02,2.00,5.55,0.00,26.31,5.82,149.69,10.72,87.99,113.27,1.98,52.17,32.07,,,90.24,80.00,,,17.37,75.81,,209.12
Digidrive Dist.,544079,DIGIDRIVE,Trading,37.35,0.09,38.56,0.00,187.27,0.00,0.44,251.21,1.39,0.00,0.86,0.17,0.00,220.94,29.96,6.31,0.00,0.00,0.00,251.21,23.74,0.09,4.44,4.01,10.00,15.99,0.06,3.39,,0.44,21.46,0.53,1.39,0.00,,,,,,,,,,,,144.02
Digikore Studios,,DIGIKORE,Entertainment / Electronic Media Software,407.40,8.71,1.18,0.00,36.13,4.66,1.42,57.44,11.21,0.00,7.30,5.09,6.79,5.10,35.90,6.11,0.00,0.00,0.83,57.44,30.47,0.00,0.00,24.70,10.00,0.08,0.03,2.01,,6.08,3.91,3.91,11.21,2.32,3.10,4.32,,,4.99,5.02,,,2.80,1.56,,258.00
DigiSpice Tech.,517214,DIGISPICE,Computers - Software - Medium / Small,51.90,26.03,61.85,0.00,183.56,83.71,0.00,649.41,253.58,0.00,168.46,77.06,0.00,38.19,468.64,394.66,0.01,0.00,0.00,649.41,99.84,0.27,2.10,21.59,3.00,375.08,283.93,14.15,23.15,83.71,115.14,85.11,253.58,2.27,77.59,124.12,40.45,201.67,33.81,57.32,6.11,3.11,106.40,126.77,155.45,1206.49
Digjam,539979,DIGJAMLMTD,Textiles - Products,84.00,50.84,20.00,27.06,-4.16,0.00,46.26,83.42,71.18,0.00,11.68,58.95,0.00,0.00,24.17,30.67,0.00,0.00,0.00,83.42,11.00,0.00,10.57,6.15,10.00,5.81,0.86,3.18,2.00,46.26,-7.32,59.50,71.18,0.00,-26.33,-49.03,17.60,,47.88,97.09,82.53,,119.85,170.84,176.38,168.00
Diksat Transworl,540151,,Entertainment / Electronic Media Software,131.00,5.50,17.54,0.00,7.67,0.70,6.97,32.55,21.01,0.00,14.79,5.26,0.00,4.20,22.37,6.49,0.00,0.00,8.01,32.55,20.79,0.00,7.76,11.04,10.00,1.85,0.00,0.77,1.75,7.67,19.11,6.22,21.01,1.81,15.35,13.26,11.50,12.38,7.46,3.25,0.42,0.21,7.53,5.59,5.85,229.81
Diksha Greens,542155,,Miscellaneous,4.67,24.49,9.87,0.00,-38.54,23.27,1.22,11.23,11.59,0.00,1.46,10.08,0.00,0.00,1.15,39.90,0.00,0.00,5.05,11.23,-14.26,0.00,0.00,0.00,10.00,0.00,0.00,1.16,0.99,24.49,-11.34,10.13,11.59,0.00,-7.50,37.50,15.77,10.82,24.47,23.34,7.10,5.23,10.27,10.52,1.15,4.61
Diligent Indust.,531153,,Solvent Extraction,5.78,57.06,11.44,0.00,6.50,0.00,48.37,115.55,11.60,0.00,0.00,10.76,1.75,3.00,98.95,57.57,0.00,0.00,0.00,115.55,58.39,0.00,22.81,47.26,1.00,0.43,0.07,1.27,11.44,48.37,47.73,11.60,11.60,0.91,24.86,22.54,22.29,14.75,27.70,24.34,20.26,14.87,7.85,7.38,7.88,66.09
Diligent Media,540789,DNAMEDIA,Entertainment / Electronic Media Software,4.94,436.27,11.77,436.27,-269.17,0.00,0.00,339.69,0.42,0.00,0.10,0.20,0.00,0.00,255.03,160.56,0.00,0.00,2210.12,339.69,94.47,0.00,0.00,12.32,1.00,0.52,4.61,3.13,11.77,0.00,-166.16,0.33,0.42,0.00,-257.40,48.82,-22.10,-67.90,0.00,381.70,436.27,21.75,0.00,189.92,2.84,58.14
Dilip Buildcon,540047,DBL,Construction,523.05,7240.35,146.22,0.00,4223.43,6531.99,125.98,16646.72,4056.22,0.00,2527.61,1530.84,2832.46,856.74,8970.47,6793.02,0.00,0.00,3198.37,16646.72,4365.89,0.00,3479.66,1279.20,10.00,736.48,312.28,2890.72,14.62,6657.97,4350.30,1528.61,4056.22,2658.02,4943.41,3255.28,1562.19,670.88,10507.73,7406.09,4229.72,2044.39,2729.65,3030.93,1966.82,7647.78
Dindigul Farm,544201,,Food - Processing - Indian,118.00,23.99,14.38,0.00,-30.77,6.40,17.59,28.99,35.95,0.00,23.17,12.78,0.00,0.22,15.42,25.56,0.00,0.00,0.02,28.99,-6.33,0.00,8.89,1.76,10.00,0.05,0.01,19.36,0.14,25.80,-8.88,11.96,33.20,0.12,,,,,,,,,,,,288.28
Dipna Pharmachem,543594,,Trading,8.10,19.45,11.97,0.00,13.47,0.00,15.91,132.91,0.09,0.00,0.05,0.04,0.00,0.00,132.87,82.84,0.00,0.00,0.00,132.91,56.93,0.00,37.38,30.94,10.00,13.88,0.00,74.54,2.49,15.91,40.23,0.04,0.09,0.00,12.95,6.45,,,12.43,6.01,,,0.04,0.05,,19.47
Disa India,500068,,Engineering,15731.30,1.19,1.45,0.00,244.46,0.00,2.94,419.68,94.15,0.00,46.29,45.97,0.82,0.00,364.55,172.84,0.00,0.00,5.74,419.68,192.90,1.19,84.35,30.97,10.00,231.80,76.51,46.20,0.15,2.94,163.19,47.86,94.15,0.00,155.11,111.86,68.88,,5.74,0.00,0.00,,26.01,21.96,22.73,2287.65
Dish TV India,532839,DISHTV,Entertainment / Electronic Media Software,15.76,0.22,184.13,0.00,-2940.40,72.50,2.10,2709.14,15506.25,0.00,14450.70,1146.07,277.90,15.65,836.87,5456.41,0.00,0.00,1780.56,2709.14,-4619.32,0.14,10.92,65.83,1.00,170.75,213.07,492.02,184.13,74.60,-4445.08,1055.55,15506.25,652.48,-5071.04,-4851.68,-2366.65,-1436.81,811.85,2758.24,1136.92,1409.50,6006.19,10235.18,2042.29,2901.88
Disha Resources,531553,,Trading,17.99,2.25,7.32,0.00,30.89,0.00,2.25,40.91,0.00,0.00,0.00,0.00,0.00,32.06,2.57,0.45,0.00,0.00,0.33,40.91,2.12,0.00,0.00,0.11,10.00,0.06,0.00,0.00,0.73,2.25,3.38,0.00,0.00,0.00,0.55,5.98,6.02,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17
Dishman Carbogen,540701,DCAL,Pharmaceuticals - Indian - Bulk Drugs & Formln,176.85,2312.60,31.36,0.00,5596.14,1824.51,384.34,9581.41,9463.42,0.00,3275.69,6869.31,500.83,102.14,1928.19,2554.69,0.00,0.00,442.92,9581.41,1153.90,348.20,882.89,461.11,2.00,413.35,429.65,244.12,15.68,2208.85,781.50,6187.73,9463.42,1043.25,1017.17,855.64,636.70,,1588.85,1042.17,949.71,,5698.28,5097.57,4851.88,2772.73
Divgi Torq,543812,DIVGIITTS,Auto Ancillaries,671.70,1.56,15.29,0.00,565.05,0.40,2.14,641.39,212.16,0.00,95.44,227.35,25.45,0.05,379.29,54.67,0.00,0.00,6.01,641.39,325.07,1.21,35.73,63.10,5.00,264.31,0.23,37.63,3.06,2.54,347.77,116.73,212.16,92.69,192.17,146.65,,,1.12,0.59,,,105.41,78.42,,2054.27
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,4555.85,3.00,53.00,0.00,13518.00,0.00,3.26,15470.00,6364.76,0.00,1642.16,4739.00,778.00,82.00,9675.00,1278.00,0.00,0.00,89.03,15470.00,8398.00,3.00,3184.00,2156.00,2.00,3980.00,32.72,824.00,26.55,3.26,8211.15,4722.60,6364.76,211.88,5063.39,2510.56,1756.08,1143.39,4.83,105.60,35.74,18.42,3703.87,2087.77,1559.19,120943.50
Divine Power,,,Mining / Minerals / Metals,,47.63,15.78,0.00,3.48,39.90,7.73,72.53,15.42,0.00,7.04,8.38,0.61,0.07,62.52,45.76,0.00,0.00,0.00,72.53,57.24,0.00,31.39,27.69,,1.32,0.19,3.64,,47.63,57.24,8.38,15.42,0.61,50.60,,,,44.58,,,,5.14,,,85.87
Divyashakti,526315,,Miscellaneous,78.69,4.23,10.27,0.00,113.41,0.00,0.27,143.28,57.92,0.00,30.17,25.32,0.00,0.00,117.63,17.31,0.00,0.00,0.00,143.28,104.54,0.00,7.52,97.80,10.00,9.39,0.11,10.43,1.03,0.27,98.40,27.75,57.92,0.00,83.26,66.27,86.89,63.00,0.05,0.22,0.00,0.00,30.11,31.43,7.96,80.80
Dixon Technolog.,540699,DIXON,Electronics - Consumer,12389.95,488.98,11.96,8.82,1682.89,173.80,270.47,6991.45,1530.68,0.00,287.04,2000.32,64.27,20.04,4836.28,4731.62,0.00,0.00,3124.85,6991.45,169.05,333.95,1695.01,2317.88,2.00,208.65,77.21,4059.75,5.96,444.27,223.31,1243.64,1530.68,119.70,310.06,262.67,92.20,69.61,294.53,141.24,42.95,93.59,550.23,240.94,136.56,74135.40
DJ Mediaprint,543193,DJML,Miscellaneous,319.20,17.80,10.83,0.00,22.72,7.95,9.85,60.05,31.30,0.00,9.61,21.70,0.00,0.10,36.81,18.61,0.00,0.00,0.00,60.05,28.11,2.33,6.36,17.97,10.00,0.45,0.17,6.05,1.08,12.32,25.51,12.18,17.50,0.00,7.52,4.33,2.35,0.77,5.96,5.31,2.68,0.79,5.26,2.71,1.39,345.62
DLF,532868,DLF,Construction,824.30,4833.87,495.06,0.00,38935.75,3058.12,275.87,60262.39,6011.27,0.00,1225.88,3882.62,68.10,20137.69,32018.39,14136.61,0.00,0.00,9396.35,60262.39,20048.66,235.15,21154.13,538.07,2.00,4384.34,0.00,1787.82,247.53,3333.99,16178.26,4785.38,6011.27,61.12,16472.66,17060.20,19518.69,17676.89,6785.41,17222.46,29202.23,22334.07,4856.26,6321.67,24640.21,204039.95
DMCC Speciality,506405,DMCC,Chemicals,319.00,65.23,24.94,0.00,184.22,91.35,9.79,376.87,285.49,0.00,55.97,238.12,5.89,0.54,115.02,107.02,0.00,0.00,16.23,376.87,15.32,0.15,44.08,45.57,10.00,3.33,0.00,64.78,2.49,101.14,18.14,229.52,285.49,11.33,30.24,33.17,-2.38,5.82,32.28,18.90,29.93,28.84,108.12,98.60,83.34,795.59
DMR Hydroengg.,543410,,Miscellaneous,165.00,0.23,3.73,0.00,3.95,0.00,0.51,9.46,2.95,0.00,0.52,1.14,0.00,3.45,4.84,1.51,1.32,0.00,0.00,9.46,3.52,0.00,0.00,3.52,10.00,0.46,0.00,0.09,0.37,0.51,2.61,2.43,2.95,0.00,1.41,0.74,,,0.00,0.17,,,0.65,0.08,,62.60
Docmode Health,,DHTL,Miscellaneous,131.00,9.18,2.29,0.00,7.23,1.10,7.38,26.40,2.21,0.00,0.14,9.47,0.00,1.26,15.51,10.98,1.20,0.00,0.00,26.40,9.33,0.00,2.51,7.91,10.00,3.10,0.00,2.79,0.23,8.48,8.96,2.07,2.21,0.00,1.30,,,,1.06,,,,0.16,,,41.17
Dodla Dairy,543306,DODLA,Food - Processing - Indian,1023.00,45.79,59.49,0.00,1079.38,30.00,15.79,1477.69,1052.24,0.00,338.78,713.46,12.36,196.18,525.13,262.12,0.00,0.00,0.86,1477.69,268.48,15.79,389.18,10.51,10.00,103.44,0.00,148.38,5.95,32.33,71.85,623.52,902.14,58.12,182.60,28.52,,,98.62,166.89,,,548.94,500.47,,6086.10
Dolat Algotech,505526,DOLATALGO,Finance & Investments,137.60,84.10,17.60,0.00,774.50,15.48,124.76,908.21,3.07,0.00,1.65,3.73,0.00,90.10,399.05,115.53,0.00,0.00,984.82,908.21,367.59,0.00,0.00,0.00,1.00,7.09,0.00,0.00,17.60,140.24,328.32,1.42,3.07,0.00,86.17,66.35,50.87,41.75,114.32,0.00,0.00,0.00,0.54,0.02,0.02,2421.76
Dolfin Rubbers,542013,,Tyres,206.00,14.65,10.03,0.00,18.25,12.02,1.05,62.83,27.53,0.00,7.35,25.15,0.00,0.00,36.90,20.30,0.00,0.00,0.71,62.83,28.62,0.00,19.79,15.37,10.00,0.83,0.75,4.68,1.00,13.07,25.49,20.18,27.53,2.18,16.03,7.08,,,11.11,1.85,,,17.57,8.97,,206.62
Dollar Industrie,541403,DOLLAR,Textiles - Products,538.25,300.65,11.34,0.00,779.38,161.62,0.00,1326.24,196.75,0.00,99.51,230.06,16.85,15.21,1028.49,484.93,0.00,0.00,3.43,1326.24,802.56,15.11,467.19,480.51,2.00,0.18,3.04,177.81,5.67,161.62,665.92,97.23,196.75,87.75,553.43,546.71,309.90,173.45,124.02,223.33,216.01,151.22,85.24,70.20,74.85,3052.77
Dollex Agrotech,,DOLLEX,Sugar,38.00,100.86,24.97,0.00,32.87,24.62,18.30,270.52,43.94,0.00,9.43,31.67,7.75,0.00,188.95,117.56,0.00,0.00,0.00,270.52,79.70,0.00,162.20,13.57,10.00,9.96,3.12,101.67,2.50,42.92,48.20,34.51,43.94,0.73,26.90,-0.92,,,50.26,8.78,,,44.22,28.37,,94.88
Dolphin Medical,526504,,Healthcare,1.92,0.80,15.10,0.00,-5.03,0.00,0.76,12.13,3.95,0.00,1.07,6.61,0.31,0.41,1.97,0.67,0.41,0.00,0.00,12.13,1.30,0.00,0.01,0.00,10.00,0.02,0.00,0.00,1.51,0.76,1.30,2.87,3.95,4.09,1.31,1.91,2.03,1.56,0.61,6.22,8.21,8.10,3.00,6.79,10.03,2.90
Dolphin Offshore,522261,DOLPHIN,Oil Drilling / Allied Services,681.00,1.16,4.00,0.00,217.33,0.00,18.03,227.46,263.56,0.00,205.84,2.62,46.55,14.68,172.64,4.97,0.00,0.00,0.00,227.46,167.67,1.16,0.00,141.31,1.00,0.23,0.00,0.29,3.16,18.03,137.63,57.72,263.56,0.00,,,283.44,230.15,,,58.15,138.83,,,323.66,2724.31
Doms Industries,544045,DOMS,Printing & Stationery,2091.00,171.90,60.69,0.00,753.72,60.44,79.36,1189.99,433.02,0.00,112.82,498.17,25.40,1.49,616.48,206.15,0.00,0.00,0.26,1189.99,455.51,56.04,225.10,64.65,10.00,305.90,16.17,90.44,0.04,139.80,143.84,320.21,433.02,6.89,131.37,,,,97.02,,,,190.71,,,12689.69
Donear Inds.,512519,DONEAR,Textiles - Processing,137.80,337.55,10.40,0.00,194.15,317.44,36.03,710.26,156.81,0.00,65.48,86.91,8.41,7.60,589.40,459.26,0.00,0.00,0.50,710.26,453.82,0.00,328.66,173.88,2.00,15.38,19.65,69.91,5.20,353.47,448.99,91.32,156.81,0.63,257.53,332.05,254.06,233.54,237.04,301.44,264.40,310.81,81.70,78.23,89.66,716.56
Dr Agarwal's Eye,526783,,Healthcare,3284.00,268.02,4.70,0.00,152.45,43.83,188.64,495.76,364.56,0.00,104.19,315.63,97.44,0.00,59.83,80.77,0.00,0.00,2.08,495.76,-0.97,216.72,9.75,12.93,10.00,33.74,1.03,31.84,0.47,232.47,10.19,260.37,364.56,62.21,14.51,-0.45,-4.27,-3.82,67.55,23.76,23.06,27.86,95.72,54.74,33.21,1543.48
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare,2831.80,246.93,83.48,0.00,1765.81,0.00,246.93,2453.57,1862.41,0.00,634.88,1227.53,5.65,113.78,1012.92,465.19,0.00,0.00,10.09,2453.57,691.64,163.60,37.31,77.40,10.00,830.31,10.82,186.56,8.34,419.50,559.58,1305.06,1807.22,4.94,851.80,490.56,286.82,65.25,150.37,0.00,0.00,0.87,447.26,208.66,152.43,23639.94
Dr Lalchand. Lab,541299,,Healthcare,23.50,3.48,4.33,0.00,5.21,1.21,5.19,14.99,8.05,0.02,2.65,3.99,0.00,0.41,9.48,5.03,0.24,0.00,0.00,14.99,7.67,0.00,1.44,4.70,10.00,2.29,0.00,1.23,0.43,6.40,7.07,5.39,8.05,0.00,6.45,4.48,,,4.04,0.90,,,5.24,3.28,,10.18
