Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Sh. Jagdamba Pol,512453,,Packaging,720.35,12.07,66.05,12.20,0.43,12.63,2.00,10.63,1.46,9.17,3.25,5.93,0.00,5.93,18.47,8.98,0.88,6.77,630.88
Sh. Karthik Pap.,516106,,Paper,10.86,0.88,18.71,0.48,0.08,0.56,0.11,0.45,0.25,0.20,0.04,0.16,0.00,0.16,2.57,0.86,9.56,0.08,20.75
Sh. Krish. Infr.,542146,,Construction,84.84,0.05,0.44,0.04,0.00,0.04,0.03,0.01,0.00,0.01,0.01,0.00,0.00,0.00,9.09,0.00,,0.00,93.32
Sh. Krishna Pap.,500388,,Paper,40.26,-1.04,44.16,3.56,0.57,3.72,1.09,2.63,1.41,1.63,0.91,0.88,0.41,0.72,8.06,1.99,13.52,0.53,54.43
Sh. Rajas. Synt.,503837,,Textiles - Spinning - Synthetic / Blended,9.81,-1.25,12.42,-2.16,0.84,-1.19,17.11,-18.30,3.77,-22.20,0.07,-22.14,-0.13,-22.27,-17.39,-178.26,13.70,-16.25,13.44
Sh. Rama Multi.,532310,SHREERAMA,Packaging,27.25,3.61,47.05,5.53,0.10,5.63,1.51,4.12,0.34,3.78,0.00,3.78,0.00,3.78,11.75,8.03,31.76,0.28,363.94
Sh. Steel Wire,513488,,Steel - Medium / Small,39.60,0.03,4.26,0.17,0.03,0.20,0.08,0.12,0.01,0.11,0.07,0.04,0.00,0.04,3.99,0.94,3.30,0.12,13.11
Sh.Pushkar Chem.,539334,SHREEPUSHK,Dyes And Pigments,209.10,13.95,180.31,20.41,2.02,22.43,4.95,17.48,0.96,16.52,3.70,12.81,0.00,12.81,11.32,7.10,30.84,4.05,661.27
Sh.Renuka Sugar,532670,RENUKA,Sugar,49.60,191.80,2328.50,258.60,41.50,300.10,60.10,240.00,189.60,50.40,5.80,42.80,0.00,44.60,11.11,1.92,212.80,0.20,10557.28
Shah Alloys,513436,SHAHALLOYS,Steel - Medium / Small,62.57,-6.98,153.65,-5.44,0.00,-5.44,2.24,-7.68,0.98,-8.66,-2.07,-6.37,0.00,-6.37,-3.54,-4.15,19.80,-3.22,123.89
Shah Foods,519031,,Food - Processing - Indian,244.90,-0.02,0.00,-0.07,0.06,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,0.60,-0.17,14.69
Shah Metacorp,533275,SHAH,Steel - Medium / Small,4.02,1.47,20.68,-6.63,0.06,-6.57,0.71,-7.28,0.14,-7.42,-1.16,-6.25,0.00,-6.25,-32.06,-30.22,15.83,-0.19,168.46
Shahi Shipping,526508,,Shipping,17.12,0.70,3.61,0.75,0.11,0.86,0.16,0.70,0.05,0.65,-0.07,0.72,0.00,0.72,20.78,19.94,14.49,0.50,24.81
Shahlon Silk,542862,,Textiles - Products,20.85,6.28,122.86,5.80,0.45,5.92,2.27,3.65,3.23,0.75,0.43,0.19,0.33,0.34,4.72,0.15,17.86,0.04,186.20
Shaily Engineer.,501423,SHAILY,Plastics Products,809.35,31.89,134.50,25.21,1.28,26.49,9.86,16.63,4.89,11.74,1.80,9.93,0.00,9.93,18.74,7.38,9.17,2.16,3712.28
Shakti Press,526841,,Printing & Stationery,31.08,0.62,2.72,0.98,0.00,0.98,0.43,0.55,0.18,0.37,0.00,0.37,0.00,0.37,36.03,13.60,3.52,1.05,10.94
Shakti Pumps,531431,SHAKTIPUMP,Pumps,3848.40,70.97,182.66,10.89,0.58,11.47,4.46,7.01,4.05,2.96,0.71,2.25,0.00,2.25,5.96,1.23,18.38,1.22,7710.30
Shalby,540797,SHALBY,Healthcare,271.75,42.32,198.98,25.66,9.18,34.84,12.81,22.03,2.84,19.19,5.29,13.90,0.00,13.90,12.90,6.99,108.01,1.29,2935.16
Shalibhadra Fin.,511754,,Finance & Investments,623.00,5.83,7.85,4.94,0.00,4.94,0.01,4.93,1.74,3.19,0.84,2.35,0.00,2.35,62.93,29.94,11.62,3.75,436.10
Shalimar Agencie,539895,,Finance & Investments,42.63,0.00,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,3.00,-0.10,12.79
Shalimar Paints,509874,SHALPAINTS,Paints / Varnishes,141.35,-6.96,135.36,-6.01,3.44,-2.57,3.18,-5.75,3.87,-9.62,0.00,-9.62,0.00,-9.62,-4.44,-7.11,14.44,-1.33,1183.25
Shalimar Prod.,512499,,Entertainment / Electronic Media Software,0.71,0.11,0.80,0.21,0.00,0.21,0.02,0.19,0.00,0.19,0.00,0.19,0.00,0.19,26.25,23.75,98.43,0.00,69.88
Shalimar Wires,532455,,Textiles - Products,21.97,4.96,31.07,5.67,7.08,6.74,2.59,4.15,5.97,4.19,0.00,-1.82,6.01,4.19,18.25,-5.86,8.55,0.98,93.93
Shamrock Indl.,531240,,Trading,12.04,-0.05,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,5.43,-0.04,6.54
Shangar Decor,540259,,Miscellaneous,8.17,0.38,2.73,0.38,0.01,0.39,0.38,0.01,0.02,-0.01,-0.02,0.01,0.00,0.01,13.92,0.37,6.12,0.01,10.00
Shankar Lal Ram.,542232,,Trading,105.00,3.39,87.70,4.46,0.08,4.54,0.02,4.52,0.27,4.25,3.15,1.09,0.00,1.09,5.09,1.24,21.32,0.17,671.66
Shankara Build.,540425,SHANKARA,Trading,688.40,38.45,1210.02,35.88,0.85,36.73,4.22,32.51,6.57,25.94,6.80,19.14,0.00,19.14,2.97,1.58,22.85,8.38,1669.30
Shantai Indust.,512297,,Trading,35.15,-0.06,0.31,-0.05,0.01,-0.04,0.00,-0.04,0.01,-0.05,0.00,-0.05,0.00,-0.05,-16.13,-16.13,1.50,-0.33,5.27
Shanthala,,SHANTHALA,Trading,71.50,0.21,19.95,0.21,,,,,,,,,,0.07,,,,1.40,47.89
Shanthi Gears,522034,SHANTIGEAR,Engineering,628.70,23.35,123.40,26.65,2.78,29.43,2.88,26.55,0.00,26.55,7.08,19.47,0.00,19.47,21.60,15.78,7.67,2.54,4823.14
Shanti Educat.,539921,,Miscellaneous,85.79,-0.57,10.99,0.41,4.83,5.24,0.22,5.02,0.30,4.72,1.35,3.37,0.00,3.37,3.73,30.66,16.10,0.21,1381.22
Shanti Guru Inds,534708,,Trading,18.46,-0.07,0.00,-0.11,,,,,,,,,,0.02,,,,0.02,22.72
Shanti Overseas,,SHANTI,Food - Processing - Indian,15.82,-1.04,5.07,-11.33,-0.05,-11.38,0.75,-12.13,0.29,-12.42,-5.57,-6.85,0.00,-6.85,-223.47,-135.11,11.11,-6.17,17.58
Shanti Spintex,544059,,Textiles - Cotton/Blended,63.49,11.33,273.11,35.45,,,,,,,,,,26.73,,,,37.65,107.22
Shantidoot Infra,543598,,Construction,156.00,0.65,5.47,1.11,,,,,,,,,,0.61,,,,3.39,28.05
Sharanam Infra,539584,,Trading,0.55,-0.01,0.00,-0.11,0.00,-0.11,0.01,-0.12,0.00,-0.12,0.00,-0.11,0.00,-0.11,,,5.00,0.00,6.60
Sharat Industrie,519397,,Aquaculture,58.24,4.70,62.60,3.71,0.36,4.07,1.13,2.94,2.47,0.47,0.15,0.33,0.00,0.33,5.93,0.53,23.91,0.14,139.27
Sharda Cropchem,538666,SHARDACROP,Pesticides / Agrochemicals - Indian,478.55,69.48,1481.82,318.24,7.04,325.28,67.66,257.62,2.48,255.14,56.29,198.83,0.00,198.85,21.48,13.42,90.22,22.04,4317.53
Sharda Ispat,513548,,Steel - Medium / Small,665.40,4.77,41.93,2.72,0.18,2.90,0.20,2.70,0.11,2.59,0.67,1.92,0.00,1.92,6.49,4.58,5.08,3.78,338.02
Sharda Motor,535602,SHARDAMOTR,Auto Ancillaries,2278.50,94.34,688.16,81.12,13.70,94.82,14.08,80.74,0.16,80.58,20.04,60.55,0.00,60.55,11.79,8.80,5.95,20.37,6774.34
Shardul Sec.,512393,,Finance & Investments,253.00,57.22,-4.40,-5.51,-0.06,-5.57,0.09,-5.66,0.00,-5.66,-0.98,-4.69,0.00,-4.69,,,17.50,-2.68,442.75
Share India Sec.,540725,SHAREINDIA,Finance & Investments,294.60,182.51,340.72,154.20,2.92,157.12,3.40,153.72,15.49,138.23,31.33,106.27,0.00,106.89,45.26,31.37,31.91,6.53,5815.55
Sharika Enterpr.,540786,,Trading,23.26,-1.44,21.39,1.97,0.19,2.16,0.15,2.01,0.42,1.59,0.21,1.38,0.00,1.38,9.21,6.45,21.65,0.32,100.72
Sharp Chucks and,,SCML,Castings & Forgings,110.00,6.55,,,,,,,,,,,,,,,,,118.36
Sharp India,523449,,Electronics - Consumer,86.50,-2.33,0.00,-2.19,0.04,-2.15,0.04,-2.19,1.84,-4.03,0.00,-4.03,0.00,-4.03,,,25.94,-1.55,224.37
Sharp Investment,538212,,Finance & Investments,0.81,-0.01,0.11,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,90.91,90.91,24.21,0.00,19.61
Sharpline Broadc,543341,,Miscellaneous,6.65,1.48,8.93,4.75,-0.54,4.81,0.15,4.66,0.02,4.04,0.57,3.98,-0.60,3.47,53.19,44.57,11.50,3.02,11.16
Shashank Traders,540221,,Trading,24.21,-0.02,0.00,-0.19,0.00,-0.19,0.00,-0.19,0.00,-0.19,0.00,-0.19,0.00,-0.19,,,3.09,-0.61,7.49
Shashijit Infra.,540147,,Construction,6.50,0.59,9.95,0.69,0.09,0.78,0.23,0.55,0.25,0.30,0.18,0.13,0.00,0.13,6.93,1.31,10.34,0.03,33.63
Shashwat Furnis.,543519,,Miscellaneous,42.50,-0.31,2.68,0.14,,,,,,,,,,0.03,,,,0.14,8.87
Sheela Foam,540203,SFL,Miscellaneous,931.00,76.18,729.04,78.31,17.61,95.92,26.07,69.85,7.04,62.81,19.22,43.23,0.00,43.59,10.74,5.98,24.39,4.43,10119.72
Sheetal Cool,540757,SCPL,Food - Processing - Indian,554.15,6.62,60.87,7.45,1.61,9.06,2.48,6.58,1.53,5.05,1.33,3.72,0.00,3.72,12.24,6.11,10.50,3.54,581.86
Sheetal Univer.,,SHEETAL,Food - Processing - Indian,57.90,,,,,,,,,,,,,,,,,,66.33
Shekhawati Poly.,533301,SPYL,Textiles - Processing,4.70,-0.48,42.79,-0.37,0.21,-0.16,2.23,-2.39,0.03,-2.42,0.00,-2.41,0.00,-2.41,-0.86,-5.63,34.47,-0.07,162.01
Shelter Infra,526839,,Miscellaneous,11.26,-0.04,0.36,-0.34,0.04,-0.30,0.03,-0.33,0.00,-0.33,-0.02,-0.31,0.00,-0.31,-94.44,-86.11,3.57,-0.87,4.02
Shelter Pharma,543963,,Pharmaceuticals - Indian - Bulk Drugs,49.90,4.29,19.13,4.31,,,,,,,,,,2.81,,,,3.63,57.69
Shemaroo Entert.,538685,SHEMAROO,Entertainment / Electronic Media Software,146.90,-17.69,164.49,16.87,0.25,17.12,1.32,15.80,8.35,7.45,2.80,4.65,0.00,4.65,10.26,2.83,27.18,1.78,400.56
Shera Energy,,SHERA,Mining / Minerals / Metals,181.15,24.71,357.68,19.48,0.40,4.95,1.24,3.71,0.47,3.24,0.98,2.25,0.00,4.82,3.02,1.49,,1.64,412.79
Shervani Indl Sy,526117,,Construction,601.20,2.20,4.76,0.02,19.81,19.83,0.24,19.59,0.04,19.55,0.79,18.76,0.00,18.76,0.42,394.12,2.72,69.46,162.38
Sheshadri Indus.,539111,,Textiles - Products,14.85,-1.24,5.21,-0.88,3.10,2.22,0.29,1.93,0.67,1.26,0.00,1.27,0.00,1.27,-16.89,24.38,4.96,2.56,7.37
Shetron,526137,,Packaging,113.70,6.09,55.02,4.88,0.41,5.29,1.35,3.94,2.20,1.74,0.60,1.14,0.00,1.14,8.87,2.07,9.00,1.27,102.33
Shigan Quantum,,SHIGAN,Auto Ancillaries,103.00,5.71,53.44,1.61,,,,,,,,,,-1.14,,,,-0.66,186.74
Shilchar Tech.,531201,,Electric Equipment,5797.20,32.36,94.99,21.17,1.43,22.60,0.63,21.97,0.06,21.91,5.64,16.28,0.00,16.28,22.29,17.14,3.81,21.42,4421.41
Shilp Gravures,513709,,Mining / Minerals / Metals,162.60,2.24,19.30,2.84,0.28,3.12,1.07,2.05,0.06,1.99,0.62,1.37,0.00,1.37,14.72,7.10,6.15,2.23,99.99
Shilpa Medicare,530549,SHILPAMED,Pharmaceuticals - Indian - Formulations,569.90,65.15,263.56,37.02,2.17,39.19,25.69,13.50,17.74,-4.24,3.82,-8.04,0.00,-8.05,14.05,-3.05,8.68,-0.93,5573.12
Shine Fashions,543244,,Trading,177.00,2.07,12.31,1.26,,,,,,,,,,0.91,,,,3.00,49.52
Shipping Land,544142,SCILAL,Miscellaneous,80.77,-2.59,2.78,-6.28,15.99,9.71,0.18,9.53,0.00,9.53,-0.92,10.45,0.00,10.45,-225.90,375.90,,,3762.24
Shish Industries,540693,,Plastics Products,137.50,1.69,19.32,2.52,-0.79,1.73,0.26,1.47,0.14,1.33,0.39,0.94,0.00,0.94,13.04,4.87,10.54,0.28,489.54
Shiva Cement,532323,,Cement - South India,49.80,5.20,0.00,-11.93,0.88,-11.05,26.63,-37.68,4.14,-41.82,-10.59,-31.23,0.00,-31.23,,,39.00,-1.06,1469.11
Shiva Global,530433,,Fertilizers,47.43,-2.82,151.85,4.72,0.02,4.74,0.76,3.98,2.90,1.08,0.27,0.69,0.00,0.80,3.11,0.53,,0.69,47.40
Shiva Granito,540072,,Mining / Minerals / Metals,14.75,0.25,2.20,0.56,,,,,,,,,,-7.81,,,,-5.91,19.49
Shiva Mills,540961,SHIVAMILLS,Textiles - Spinning - Synthetic / Blended,93.44,0.57,37.53,-1.04,0.79,-0.25,1.55,-1.80,0.05,-1.85,0.04,-1.90,0.00,-1.90,-2.77,-5.06,8.64,-2.20,80.74
Shiva Texyarn,511108,SHIVATEX,Textiles - Cotton/Blended,171.20,2.49,97.44,-0.07,15.52,15.45,3.63,11.82,2.49,9.33,3.01,6.32,0.00,6.32,-0.07,6.49,12.96,4.88,221.93
Shivagrico Impl.,522237,,Castings & Forgings,23.44,0.63,9.07,0.61,0.00,0.61,0.33,0.28,0.31,-0.03,0.00,-0.03,0.00,-0.03,6.73,-0.33,5.01,-0.06,11.74
Shivalic,,SPCL,Electric Equipment,305.00,,,,,,,,,,,,,,,,,,236.51
Shivalik Bimetal,513097,SBCL,Mining / Minerals / Metals,588.85,24.21,110.13,27.02,1.62,28.64,2.24,26.40,1.59,24.81,5.91,18.90,0.00,18.90,24.53,17.16,7.68,3.28,3392.01
Shivalik Rasayan,539148,SHIVALIK,Pesticides / Agrochemicals - Indian,637.50,8.86,62.93,10.12,0.90,11.02,2.81,8.21,1.36,6.85,-0.22,3.31,0.00,7.08,16.08,11.25,7.24,2.28,991.97
Shivam,544165,,Trading,49.39,1.56,,,,,,,,,,,,,,,,,83.90
Shivam Autotech,532776,SHIVAMAUTO,Auto Ancillaries,40.87,10.12,115.44,11.37,0.28,11.65,8.55,3.10,12.27,-9.17,1.88,-11.06,0.00,-11.06,9.85,-9.58,24.44,-0.90,499.51
Shivansh Finserv,539593,,Finance & Investments,4.62,-0.07,0.00,-0.09,0.22,0.13,0.01,0.12,0.05,0.07,0.02,0.05,0.00,0.05,,,6.24,0.08,2.88
Shoora Designs,543970,,Diamond Cutting / Jewellery,46.00,0.07,,,,,,,,,,,,,,,,,6.89
Shoppers Stop,532638,SHOPERSTOP,Textiles - Products,747.55,217.49,923.90,154.73,22.91,177.64,104.48,73.16,55.13,18.03,3.77,14.26,0.00,14.26,16.75,1.54,54.76,1.30,8220.15
Shraddha Prime,531771,,Construction,114.45,13.38,8.59,1.35,0.00,1.36,0.00,1.36,0.03,1.32,0.31,1.00,-0.01,1.00,15.72,11.76,,0.47,231.20
Shradha AI Tech,543976,,Trading,90.50,2.18,3.64,0.08,0.55,0.63,0.00,0.63,0.00,0.63,0.12,0.51,0.00,0.51,2.20,14.01,,0.21,220.65
Shradha Infrapr.,,SHRADHA,Construction,136.95,5.06,45.14,3.82,0.83,4.65,0.06,4.59,0.01,4.58,1.32,3.16,0.00,3.26,8.46,7.22,10.12,1.56,277.32
Shree Bhavya,521131,,Textiles - Processing,20.89,2.38,53.79,1.88,0.60,2.48,0.14,2.34,2.00,0.34,-0.08,0.43,0.00,0.43,3.50,0.80,9.50,0.45,19.85
Shree Cement,500387,SHREECEM,Cement - North India,28195.35,1263.95,5100.19,889.20,145.72,1034.92,472.82,562.10,71.27,490.83,-34.38,525.21,0.00,525.21,17.43,10.30,36.08,145.72,101730.94
Shree Ganesh Bio,539470,,Pharmaceuticals - Indian - Bulk Drugs & Formln,1.16,0.09,7.98,-0.48,0.58,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,-6.02,1.25,19.93,0.00,46.24
Shree Ganesh Rem,540737,,Pharmaceuticals - Indian - Bulk Drugs & Formln,815.00,8.40,29.61,8.64,0.34,8.98,1.03,7.95,0.08,7.87,1.18,6.70,0.00,6.70,29.18,22.63,12.01,5.23,1046.04
Shree Hanuman Sg,537709,,Sugar,16.57,-0.15,0.00,-6.92,0.00,-6.92,0.00,-6.92,0.00,-6.92,0.00,-6.92,0.00,-6.92,,,18.50,-3.74,30.66
Shree Karni,,SHREEKARNI,Textiles - Products,610.00,,,,,,,,,,,,,,,,,,431.40
Shree Marutinand,544083,,Trading,217.00,2.18,22.74,2.34,,,,,,,,,,1.02,,,,49.76,75.08
Shree Metalloys,531962,,Trading,36.70,0.06,23.55,0.23,0.00,0.23,0.06,0.17,0.01,0.16,0.05,0.12,0.00,0.12,0.98,0.51,,0.23,19.31
Shree Mfg. Co.,503863,,Textiles - Cotton/Blended,15.78,-0.05,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.18,-0.21,0.00,-0.21,0.00,-0.21,,,8.30,-0.25,13.10
Shree OSFM,,SHREEOSFM,Miscellaneous,169.60,,,,,,,,,,,,,,,,,,242.26
Shree Pacetronix,527005,,Healthcare,222.00,0.85,7.52,2.97,0.04,3.01,0.15,2.86,0.08,2.78,0.82,1.96,0.00,1.96,39.49,26.06,3.60,5.45,79.90
Shree Precoated,533110,,Construction,15.00,-0.15,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,,,4.14,-0.29,6.21
Shree Ram Prote.,,SRPL,Solvent Extraction,1.18,-4.55,24.30,2.17,0.02,2.19,0.25,1.94,1.05,0.89,-0.03,0.92,0.00,0.92,8.93,3.79,21.42,0.02,50.55
Shree Rama News.,500356,RAMANEWS,Miscellaneous,19.97,2.96,13.38,1.66,-101.03,3.11,1.11,2.00,0.00,-100.48,0.00,2.01,-102.48,-100.47,12.41,15.02,147.52,-6.81,294.61
Shree Securities,538975,,Finance & Investments,0.36,0.24,0.06,-0.49,0.00,-0.49,0.00,-0.49,0.00,-0.49,0.00,-0.49,0.00,-0.49,-816.67,-816.67,79.80,-0.01,28.73
Shree Tirupati,,TIRUPATI,Packaging,694.55,16.02,79.29,8.61,,,,,,,,,,5.62,,,,5.55,703.58
Shree Vasu Logis,,SVLL,Miscellaneous,233.96,9.30,25.54,7.62,0.22,7.84,4.49,3.35,2.48,0.87,0.63,0.24,0.00,0.24,29.84,0.94,,0.21,268.27
Shreeji Translog,540738,,Miscellaneous,26.67,4.94,50.91,4.92,0.49,5.41,0.83,4.58,0.82,3.76,1.01,2.76,0.00,2.76,9.66,5.42,10.48,0.39,186.39
Shreeoswal Seeds,,OSWALSEEDS,Miscellaneous,27.10,-1.18,26.27,0.45,0.07,0.52,0.12,0.40,0.53,-0.13,0.10,-0.23,0.00,-0.23,1.71,-0.88,15.25,-0.03,247.88
Shreeshay Engi.,541112,,Construction,29.77,0.06,3.74,-0.07,,,,,,,,,,0.00,,,,0.00,39.31
Shreevatsaa Fin.,532007,,Finance & Investments,22.80,0.15,0.21,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,52.38,52.38,10.10,0.11,23.03
Shrenik,,SHRENIK,Trading,1.16,0.16,12.00,-56.79,55.63,-1.18,0.17,-1.35,1.57,-2.90,-0.12,-2.80,0.02,-2.78,-473.25,-23.33,61.20,-0.05,70.99
Shreyans Inds.,516016,SHREYANIND,Paper,276.00,17.36,227.59,31.92,2.14,34.06,3.24,30.82,1.10,29.72,5.60,24.12,0.00,24.12,14.03,10.60,13.82,17.45,381.44
Shreyas Interm.,526335,,Dyes And Pigments,10.40,-0.18,0.00,-0.04,0.15,0.11,0.42,-0.31,0.04,-0.35,0.00,-0.35,0.00,-0.35,,,74.85,-0.05,73.69
Shreyas Shipping,520151,SHREYAS,Shipping,336.55,6.97,81.09,25.92,13.17,39.09,14.80,24.29,5.46,18.83,0.78,18.05,0.00,18.05,31.96,22.26,21.96,8.22,739.05
Shri Balaji,544074,,Engineering,244.05,6.91,33.41,5.51,,,,,,,,,,2.99,,,,2990.00,199.14
Shri Gang Indus,523309,,Breweries & Distilleries,73.69,5.82,48.73,8.68,0.55,9.23,1.67,7.56,2.69,4.87,-3.56,8.43,0.00,8.43,17.81,17.30,7.93,4.70,132.13
Shri Keshav,530977,,Cement - South India,201.10,11.06,31.92,8.13,0.50,8.63,2.68,5.95,7.18,-1.23,24.87,-26.10,0.00,-26.10,25.47,-81.77,12.00,-21.76,352.16
Shri Krishna,531080,,Construction,35.00,0.36,17.90,7.15,0.25,7.40,0.05,7.35,0.76,6.59,1.77,4.82,0.00,4.82,39.94,26.93,28.00,1.72,98.00
Shri Techtex,,SHRITECH,Textiles - Products,62.00,8.49,,,,,,,,,,,,,,,,,154.69
Shri Vasuprada,538092,,Tea,96.00,-1.99,14.44,-7.77,-0.44,-8.21,1.90,-10.11,1.48,-11.59,-0.72,-10.88,0.00,-10.88,-53.81,-75.35,8.28,-13.16,79.53
Shri Venkatesh,543373,,Solvent Extraction,129.05,15.73,305.26,13.90,0.01,9.53,0.26,9.27,2.47,6.80,1.08,5.72,0.00,6.48,5.96,3.58,11.06,2.93,285.45
Shricon Indus.,508961,,Construction,118.75,-0.03,0.00,-0.02,1.46,1.44,0.01,1.43,0.07,1.36,0.00,1.36,0.00,1.36,,,,10.97,14.73
Shriram AMC,531359,,Finance & Investments,381.50,-0.88,1.42,-1.27,0.08,-1.19,0.16,-1.35,0.47,-1.82,-0.87,-0.95,0.00,-0.95,-89.44,-66.90,60.00,-1.58,496.59
Shriram Finance,511218,SHRIRAMFIN,Finance & Investments,2924.95,6552.37,7966.45,5625.76,13.30,5639.06,427.09,5211.97,3361.23,1850.74,565.70,1285.19,0.00,1288.18,70.62,16.17,270.52,34.32,109952.29
Shriram Pistons,,SHRIPISTON,Auto Ancillaries,1903.55,161.30,701.01,135.02,16.30,151.32,23.84,127.48,6.23,121.25,29.87,90.96,0.00,91.38,19.26,13.04,22.02,20.67,8385.11
Shriram Properti,543419,SHRIRAMPPS,Construction,112.35,19.27,117.85,-7.86,54.49,46.63,2.02,44.61,30.84,13.77,-2.05,15.23,0.00,15.82,-6.67,13.42,169.62,0.90,1913.93
Shristi Infra,511411,,Construction,41.83,-2.73,42.68,2.88,-8.67,4.70,6.15,-1.45,14.81,-26.75,1.78,-20.77,-10.49,-30.77,6.75,-49.27,22.20,-13.69,92.86
Shrydus Indust.,511493,,Finance & Investments,18.40,0.24,3.26,0.11,0.01,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,3.37,3.68,9.06,0.12,22.08
Shubham Polyspin,542019,,Textiles - Products,24.85,0.51,10.77,0.56,0.28,0.84,0.38,0.46,0.29,0.17,0.07,0.10,0.00,0.10,5.20,0.93,11.02,0.08,30.13
Shubhlaxmi Jewel,,SHUBHLAXMI,Trading,33.50,1.55,41.86,1.23,,,,,,,,,,0.57,,,,0.65,29.49
Shukra Bullions,531506,,Diamond Cutting / Jewellery,27.89,-0.02,0.61,0.03,0.05,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,4.92,13.11,5.01,0.16,14.00
Shukra Jewellery,523790,,Construction,4.92,-0.09,1.87,0.30,0.00,0.30,0.03,0.27,-0.06,0.33,0.02,0.31,0.00,0.31,16.04,16.58,12.99,0.23,6.68
Shukra Pharma.,524632,,Pharmaceuticals - Indian - Formulations,109.20,9.55,46.25,3.65,0.89,4.54,0.51,4.03,0.07,3.96,-0.01,3.98,0.00,3.98,7.89,8.61,1.57,0.90,478.17
Shyam Century,539252,SHYAMCENT,Mining / Minerals / Metals,17.25,0.53,66.32,10.62,1.11,11.73,0.88,10.85,0.17,10.68,3.39,7.29,0.00,7.29,16.01,10.99,22.22,0.34,366.01
Shyam Metalics,543299,SHYAMMETL,Steel - Large,680.80,407.36,3427.97,426.98,23.38,450.33,136.77,313.56,38.65,274.94,20.99,253.92,0.03,253.95,12.46,7.41,255.08,10.05,19003.29
Shyam Telecom,517411,SHYAMTEL,Trading,15.73,-0.38,0.00,-0.38,0.69,0.31,0.04,0.27,0.00,0.27,0.18,0.10,0.00,0.10,,,11.27,0.09,17.73
Shyama Infosys,531219,,Computers - Software - Medium / Small,6.69,0.01,0.04,-0.78,0.92,0.14,0.00,0.14,0.02,0.12,0.03,0.09,0.00,0.09,-1950.00,225.00,10.06,0.09,6.73
Shyamkamal Inv,505515,,Finance & Investments,13.15,-0.02,0.00,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,,,,-0.19,13.34
Sibar Auto Parts,520141,,Auto Ancillaries,13.41,-0.32,6.25,-0.49,0.83,0.33,0.14,0.19,0.14,0.06,-0.03,0.08,0.01,0.09,-7.84,1.28,16.53,0.05,22.17
Sicagen India,533014,,Trading,64.00,5.23,227.42,11.37,7.55,12.56,3.55,9.01,2.64,12.73,1.56,5.59,6.36,11.17,5.00,2.46,39.57,2.82,253.24
Sical Logistics,520086,SICALLOG,Miscellaneous,170.20,4.04,95.11,4.88,-802.75,7.97,12.81,-4.84,6.96,-817.64,-0.05,-14.18,-805.84,-817.58,5.13,-15.72,58.54,-118.89,1110.54
Siddha Ventures,530439,,Finance & Investments,9.59,-0.02,0.00,20.29,0.00,20.29,0.00,20.29,0.00,20.29,0.00,20.29,0.00,20.29,,,10.00,20.29,9.59
Siddhes. Garment,526877,,Trading,14.00,-0.05,0.00,-0.06,0.08,0.02,0.00,0.02,0.00,0.02,0.01,0.02,0.00,0.02,,,3.83,,4.63
Siddhika Coatins,,SIDDHIKA,Miscellaneous,295.00,2.63,18.27,2.64,,,,,,,,,,2.17,,,,7.02,91.14
Siel Fin. Serv.,532217,,Finance & Investments,49.79,-0.08,0.00,-0.11,0.09,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.01,0.00,-0.01,,,11.32,-0.01,56.48
Siemens,500550,SIEMENS,Electric Equipment,7810.00,523.00,4465.20,554.90,188.00,742.90,53.80,689.10,7.40,681.70,165.70,516.00,0.00,516.00,12.43,11.56,71.20,14.49,278129.95
Sigachi Indust.,543389,SIGACHI,Pharmaceuticals - Indian - Bulk Drugs & Formln,60.48,22.59,72.42,12.17,1.55,13.72,1.98,11.74,1.41,10.33,3.02,7.32,0.00,7.32,16.80,10.11,30.74,0.24,1984.94
