Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,379.35,53.76,138.71,44.14,7.02,55.22,8.45,46.77,0.61,42.10,9.98,35.01,-4.06,32.11,31.82,25.24,22.36,2.87,4242.07
Advani Hotels.,523269,ADVANIHOTR,Hotels,70.83,12.81,30.44,14.61,0.54,15.15,0.70,14.45,0.05,14.40,3.46,10.93,0.00,10.93,48.00,35.91,9.24,1.18,654.73
Advik Capital,539773,,Finance & Investments,2.58,3.12,228.89,-0.55,0.00,-0.55,0.06,-0.61,1.03,-1.64,-0.29,-1.34,0.00,-1.35,-0.24,-0.59,4.59,-0.03,110.47
Aegis Logistics,500003,AEGISLOG,Trading,878.85,211.81,2154.47,202.55,63.65,266.20,29.16,237.04,25.35,211.69,52.37,140.86,0.00,159.32,9.40,7.39,35.10,4.01,30847.66
Aeonx Digital,524594,,Trading,135.00,0.34,7.77,-0.20,2.31,2.11,0.22,1.89,0.01,1.88,0.63,1.24,0.00,1.24,-2.57,15.96,4.60,2.70,62.10
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,162.50,13.82,70.07,18.74,0.03,18.77,1.54,17.23,0.96,16.27,3.73,12.53,0.00,12.53,26.74,17.88,,1.10,2101.48
Aerpace Indus,534733,,Trading,30.91,,,,,,,,,,,,,,,,,,422.46
Aether Industri.,543534,AETHER,Chemicals,921.80,31.32,183.78,59.63,0.59,60.22,6.89,53.33,1.17,52.16,14.59,37.56,0.00,37.56,32.45,20.44,,3.02,12218.48
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1360.20,96.68,355.82,69.00,17.52,86.52,13.55,72.97,3.11,69.86,7.47,62.38,0.00,62.38,19.39,17.53,26.65,4.68,19071.24
Affordable Robo.,541402,,Engineering,559.00,-2.83,95.02,16.70,,,,,,,,,,13.03,,,,11.63,628.65
AFLOAT Enterpris,543377,,Trading,12.00,-0.06,3.57,-0.08,,,,,,,,,,0.08,,,,0.18,5.47
Agarwal Float,,AGARWALFT,Trading,65.15,1.60,24.62,0.62,,,,,,,,,,0.05,,,,0.07,47.19
Agarwal Fortune,530765,,Trading,23.00,0.00,2.67,-0.06,0.00,-0.06,0.00,-0.06,0.00,-0.06,0.03,-0.08,0.00,-0.08,-2.25,-3.00,3.45,-0.23,8.07
Agarwal Indl.,531921,AGARIND,Petrochemicals,1168.20,44.34,659.54,42.55,0.64,43.19,6.28,36.91,3.61,33.30,5.00,28.30,0.00,28.30,6.45,4.29,13.21,18.92,1747.37
AGI Greenpac,500187,AGI,Packaging,705.00,150.19,680.32,176.86,31.60,195.51,37.67,157.84,24.97,145.82,37.03,95.84,12.95,108.79,26.00,14.09,12.94,16.82,4561.18
AGI Infra,539042,,Construction,855.00,19.25,66.36,12.50,2.49,14.99,2.01,12.98,1.20,11.78,-1.54,13.32,0.00,13.32,18.84,20.07,12.22,10.90,1044.55
Agio Paper,516020,,Paper,4.30,0.04,0.00,-0.09,0.00,-0.09,0.02,-0.11,0.22,-0.33,0.00,-0.33,0.00,-0.33,,,16.13,-0.20,6.94
Agni Green,,AGNI,Electric Equipment,52.35,0.94,17.36,2.72,,,,,,,,,,2.53,,,,1.30,102.26
Agri-Tech India,537292,AGRITECH,Miscellaneous,198.15,-0.23,0.00,-0.19,0.02,-0.17,0.01,-0.18,0.00,-0.18,0.04,-0.21,0.00,-0.21,,,5.94,-0.35,117.71
Agro Phos India,,AGROPHOS,Fertilizers,47.70,-7.22,25.91,0.83,0.19,1.02,0.39,0.63,0.66,-0.03,0.21,-0.24,0.00,-0.24,3.20,-0.93,20.27,-0.12,96.70
