Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Accuracy Shippi.,,ACCURACY,Miscellaneous,13.54,203.85,407.74,0.18,1.76,0.18,0.94,0.45,63.69,3.99,0.00,38.47,301.21,15.06,7.71,8.95,1.47,0.00,5.00,1.00,2.51,2.43,47953.00,63.69,5.09,59.49,3.17,,76.20,4.20,2.40,25.51,63.11,59.49,29.13,36.29,0.03,0.03,0.00,0.00,7.13,11.02,2.68,7.59,29298.00
ACE EduTremd Ltd,530093,,Miscellaneous,3.20,2.93,,0.00,0.33,-1.25,0.00,-1.81,5.01,-3.44,0.00,94.56,2.91,0.92,9.56,,1.45,,6.00,3.00,0.00,1.46,3652.00,5.01,-3.72,,4.67,,,-0.79,,,,,,94.99,0.00,0.00,0.00,0.00,9.74,-1.44,-1.53,-2.22,3637.00
Ace Engitech,530669,,Computers - Software - Medium / Small,21.56,7.12,,0.00,12.72,-14.88,0.00,-25.20,27.87,-2.14,0.00,34.11,7.02,0.33,1.70,,1.73,0.00,4.00,3.00,0.00,1.92,3207.00,27.87,-60.00,,3.70,,,-16.85,,,,,,67.59,0.00,0.00,0.00,4.54,2.15,-12.99,-8.66,-14.29,3131.00
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,34.19,34.87,85.08,0.00,1.84,2.00,0.01,2.19,73.53,1.24,0.00,34.11,31.85,1.02,18.66,8.77,11.61,0.00,6.00,2.00,0.45,1.08,2336.00,73.53,2.69,183.70,3.70,,372.99,1.91,12.99,180.80,55.04,183.70,52.14,26.47,0.00,0.00,0.00,0.00,18.09,3.88,2.37,2.80,1995.00
Ace Men,539661,,Trading,45.99,14.24,158.32,0.00,3.68,1.61,0.00,2.35,2.55,0.98,0.00,34.16,14.21,0.31,12.49,,0.04,0.00,6.00,2.00,0.00,1.45,1197.00,2.55,3.66,,3.16,,,3.06,9.03,,,,,97.45,0.00,0.00,0.00,0.00,12.20,1.06,0.42,0.80,1167.00
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,243.75,156.00,31.51,0.00,5.19,17.66,0.06,19.78,74.96,3.95,0.00,34.11,152.83,0.64,47.00,-0.11,2.84,0.00,4.00,4.00,0.78,1.01,3619.00,74.96,24.62,19.70,3.70,,105.41,14.98,90.44,19.70,,19.70,,25.03,0.00,0.00,0.00,0.00,42.65,1.29,0.72,0.81,3677.00
Achyut Healthcar,543499,,Trading,56.70,95.40,167.37,0.00,3.10,3.72,0.00,3.92,44.80,0.78,0.00,34.16,95.03,1.68,18.28,17.28,107.05,38.52,5.00,3.00,0.40,1.06,179.00,44.80,5.95,16.05,3.16,,552.85,2.39,11.80,17.37,19.80,16.05,21.12,55.20,0.00,0.00,0.00,0.00,10.38,2.63,1.82,1.95,167.00
ACI Infocom,517356,,Computers - Software - Medium / Small,2.44,26.96,299.50,0.00,1.59,0.53,0.00,0.53,22.88,0.70,0.00,34.11,26.94,11.05,1.53,2.00,87.88,,7.00,4.00,0.05,1.01,66614.00,22.88,1.15,0.00,3.70,,2719.84,1.06,0.53,0.00,,0.00,0.00,77.12,0.00,0.00,0.00,0.00,1.52,0.84,0.58,0.60,59363.00
Acknit Indus.,530043,,Textiles - Products,312.00,94.84,11.09,0.48,1.21,5.93,0.74,11.46,50.34,9.11,0.00,31.14,152.60,0.30,259.24,2.10,0.59,0.00,2.00,4.00,1.53,1.83,2154.00,50.34,7.78,55.73,2.37,,160.91,8.89,405.03,214.48,33.35,55.73,192.10,49.66,0.00,0.00,0.00,0.00,231.55,12.88,6.48,13.71,2222.00
Acme Resources,539391,,Finance & Investments,33.10,85.21,49.84,0.00,0.66,1.20,0.09,1.35,73.43,3.00,0.00,23.18,96.67,2.57,49.44,0.11,11.51,0.00,3.00,3.00,0.07,1.12,4036.00,73.43,10.50,0.00,1.78,,663.94,2.02,27.18,2970.82,180.19,0.00,3151.01,26.57,0.00,0.00,0.00,0.00,48.78,13.21,9.44,10.41,3697.00
Acrow India,513149,,Diversified - Medium / Small,760.00,48.64,47.69,0.00,2.09,4.42,0.00,4.48,54.63,1.27,0.00,36.52,48.63,0.06,363.75,,35.85,,4.00,2.00,0.00,0.99,1357.00,54.63,2.77,,1.93,,,2.56,361.16,,,,,45.37,0.00,0.00,0.00,0.00,347.66,-1.80,-1.48,-1.48,1394.00
Action Const.Eq.,532762,ACE,Engineering,1462.90,17420.72,53.12,0.07,14.18,17.42,0.00,30.55,66.76,2.60,0.00,43.13,17314.77,11.91,103.28,4.16,0.78,0.00,9.00,6.00,1.55,1.53,131256.00,66.76,37.09,20.58,5.46,,30.32,21.07,253.05,-3.70,124.13,20.58,99.86,21.64,9.35,0.54,-0.40,2.21,77.14,26.17,10.99,18.78,114418.00
Active Clothing,541144,,Textiles - Products,100.89,156.50,32.21,0.00,2.25,2.44,1.24,7.28,73.58,5.86,0.00,31.14,242.08,1.55,44.61,2.05,0.74,0.00,7.00,2.00,1.07,2.88,784.00,73.58,7.31,128.40,2.37,,170.34,6.34,56.08,199.18,116.43,128.40,187.21,26.42,0.00,0.00,0.00,0.00,41.48,7.98,1.40,3.57,906.00
AD Manum Finance,511359,,Finance & Investments,79.40,59.55,7.72,0.00,0.85,10.24,0.11,11.58,74.45,18.16,0.00,23.18,66.49,0.75,94.48,,5.81,0.00,8.00,6.00,0.15,1.06,1817.00,74.45,335.01,65.85,1.78,,56.26,14.59,147.73,65.85,,65.85,,25.55,0.00,0.00,0.00,0.00,82.81,11.15,7.03,8.15,1437.00
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1003.65,111956.39,106.85,0.00,8.86,1.96,2.93,8.59,73.22,3.02,2.58,38.17,146797.90,111.55,113.33,26.81,0.92,0.00,7.00,3.00,0.30,4.45,478125.00,71.33,7.04,34.39,2.52,,19.29,7.53,161.23,34.39,,34.39,,5.49,17.49,0.00,-0.02,3.80,105.33,10.21,2.53,11.60,476626.00
Adani Enterp.,512599,ADANIENT,Trading,3177.05,362184.06,103.18,0.04,9.28,2.39,1.67,9.73,72.61,2.35,0.08,34.16,420425.73,114.00,342.77,6.15,0.58,0.00,6.00,3.00,0.64,3.86,537342.00,72.55,10.24,37.07,3.16,,-31.73,6.16,468.15,-72.90,178.69,37.07,68.72,7.22,14.41,-0.24,0.33,5.77,289.92,9.48,2.19,9.63,561309.00
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1781.10,282132.05,223.38,0.00,37.66,1.87,8.65,17.07,56.37,2.05,1.02,38.17,338226.05,158.40,47.32,0.02,0.45,0.00,7.00,2.00,0.12,10.34,668586.00,55.80,7.39,53.13,2.52,,-7.17,7.88,85.99,53.13,,53.13,,23.93,18.15,0.12,0.05,1.55,46.11,7.81,1.80,22.83,693064.00
Adani Ports,532921,ADANIPORTS,Miscellaneous,1481.00,319916.56,36.11,0.41,6.05,7.72,0.94,18.06,65.89,3.66,1.70,36.01,361451.34,216.01,244.33,2.76,0.99,0.00,8.00,1.00,0.23,2.17,991001.00,64.77,13.18,50.11,5.21,,19.18,11.27,454.32,50.11,,50.11,,7.30,14.98,0.26,-0.17,11.84,210.12,9.52,6.06,14.43,970247.00
Adani Power,533096,ADANIPOWER,Power Generation And Supply,719.45,277487.46,13.31,0.00,6.42,23.43,0.80,57.06,71.75,7.95,16.10,38.17,304706.77,385.69,111.86,7.88,1.33,0.00,8.00,3.00,0.57,2.06,1426249.00,60.20,30.11,84.65,2.52,,73.14,26.28,368.68,84.65,,84.65,,10.93,15.91,0.05,0.23,1.41,77.46,15.80,12.83,44.55,1460767.00
Adani Total Gas,542066,ATGL,Miscellaneous,889.15,97789.62,146.58,0.03,27.30,10.90,0.43,20.46,74.80,1.01,0.00,17.38,98890.76,109.98,32.55,30.92,0.52,0.00,8.00,4.00,0.73,1.71,631022.00,74.80,25.06,33.44,2.92,,-51.98,15.28,66.67,2.28,43.87,33.44,12.71,5.93,13.13,0.07,-0.02,6.12,26.74,20.74,10.86,20.39,653417.00
Adani Wilmar,543458,AWL,Solvent Extraction,333.85,43389.78,274.40,0.00,5.24,0.78,0.32,1.92,87.87,2.43,0.00,21.13,43207.70,129.97,63.98,6.17,0.53,8.11,5.00,4.00,2.52,2.45,1173450.00,87.87,6.98,12.69,2.46,,14.07,5.27,40.49,14.34,56.43,12.69,58.08,11.08,0.77,0.12,0.17,0.29,62.83,15.01,2.76,7.41,1200267.00
Adarsh Plant,526711,,Packaging,35.80,35.47,72.41,0.00,24.30,5.84,3.10,40.33,70.63,1.81,0.00,26.93,39.76,0.99,1.47,4.00,0.84,0.00,8.00,3.00,2.22,5.74,5266.00,70.63,12.30,65.17,1.82,,97.46,7.84,4.05,99.97,70.36,65.17,105.16,29.37,0.00,0.00,0.00,0.00,0.98,5.44,1.72,15.56,5160.00
ADC India,523411,,Telecommunications - Equipment,2098.00,965.08,46.63,0.19,13.62,22.72,0.00,33.69,72.02,3.04,65.00,75.70,920.31,0.46,154.02,5.99,2.30,0.00,8.00,5.00,1.96,1.29,4970.00,25.21,30.96,57.32,13.89,,39.47,26.79,394.81,34.67,82.51,57.32,59.85,27.98,0.00,0.00,0.00,0.00,113.00,21.80,10.60,15.99,4927.00
Adcon Capital,539506,,Finance & Investments,0.86,17.05,18.95,0.00,0.48,2.83,0.00,2.86,0.00,6.11,0.00,23.18,16.98,19.83,1.77,,61.80,0.00,6.00,3.00,0.05,0.96,27863.00,0.00,2.74,91.25,1.78,,7117.50,3.13,1.38,91.25,,91.25,,100.00,0.00,0.00,0.00,0.00,0.91,-3.93,-3.97,-3.99,23235.00
Add-Shop E-Reta.,541865,,Trading,15.59,44.14,13.96,0.00,0.40,2.28,0.12,2.91,27.20,12.68,0.00,34.16,55.76,2.83,38.86,6.47,5.84,0.00,4.00,3.00,1.47,1.26,40118.00,27.20,3.17,154.33,3.16,,197.22,5.63,31.24,204.76,3.60,154.33,54.03,72.80,0.00,0.00,0.00,0.00,37.75,38.05,19.12,26.35,42591.00
Addi Industries,507852,,Textiles - Products,50.07,54.06,11.58,2.50,0.70,6.12,0.00,6.17,74.27,-193.01,0.00,31.14,-3.29,1.08,71.67,,252.88,,4.00,5.00,0.00,0.99,4137.00,74.27,7.19,,2.37,,,8.14,83.52,,,,,25.62,0.00,0.00,0.00,0.11,68.61,4.62,3.55,3.62,4111.00
Addictive Learn,,LAWSIKHO,Miscellaneous,307.30,488.91,74.87,0.00,7.22,70.90,0.00,333.16,66.07,2.23,0.00,94.56,439.40,1.59,42.53,,5.15,0.00,7.00,4.00,6.94,4.70,1376.00,66.07,305.14,0.11,4.67,,1.20,12.45,62.67,0.11,,0.11,,27.16,5.27,,,1.50,,552.49,48.24,340.69,
Adeshwar Meditex,543309,,Healthcare,27.00,38.96,19.38,0.00,1.12,3.00,0.40,6.11,42.65,9.11,0.00,42.74,51.69,1.44,24.19,2.87,1.10,0.00,6.00,3.00,1.19,2.04,179.00,42.65,7.69,127.67,5.67,,176.08,7.35,27.53,167.05,87.80,127.67,127.17,57.35,0.00,0.00,0.00,0.00,22.80,9.99,2.97,6.48,181.00
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,242.20,2660.89,36.03,0.50,6.05,13.71,0.02,17.15,36.42,3.87,7.69,38.34,2600.27,10.99,40.15,4.20,5.66,0.00,8.00,4.00,0.97,1.22,40411.00,33.62,15.50,76.08,3.49,,166.47,18.06,78.69,119.58,35.78,76.08,79.28,45.39,9.55,-0.02,0.63,8.64,38.15,16.96,10.84,14.23,39812.00
Adhbhut Infra.,539189,,Construction,29.07,31.98,36.76,0.00,,2.69,,,73.49,3.67,0.00,36.76,34.40,1.10,-5.57,,3.54,0.00,6.00,0.00,0.08,-5.27,1587.00,73.49,3.43,420.61,3.11,,325.08,4.07,,420.61,,420.61,,26.50,0.00,0.00,0.00,0.00,-9.65,99.25,2.93,,728.00
Adinath Exim Res,532056,,Finance & Investments,23.88,10.31,18.42,0.00,0.53,2.96,0.00,3.05,62.04,7.01,0.00,23.18,10.29,0.43,45.10,,9.00,0.00,5.00,3.00,0.05,0.97,3950.00,62.04,622.22,0.00,1.78,,21.26,3.64,36.27,0.00,,0.00,,37.96,0.00,0.00,0.00,0.00,39.80,4.06,3.99,4.06,3731.00
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,25.92,17.66,36.75,0.00,6.10,12.21,0.00,18.11,43.58,3.87,0.00,23.18,17.46,0.68,4.24,12.00,1.58,,4.00,2.00,0.00,1.36,26089.00,43.58,42.15,,0.85,,,16.35,8.20,,,,,56.42,0.00,0.00,0.00,0.01,3.54,29.44,18.13,31.18,26231.00
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,164.80,931.27,17.59,0.00,5.74,3.04,8.60,38.96,73.53,11.08,0.00,17.68,1440.39,5.65,28.79,,1.87,0.00,5.00,5.00,0.22,10.69,42819.00,73.53,24.37,56.74,2.85,,-390.64,7.62,77.93,56.74,,56.74,,26.45,0.03,0.03,0.00,0.00,19.34,10.70,2.58,37.01,41329.00
Aditya AMC,543374,ABSLAMC,Finance & Investments,648.00,18668.84,23.91,1.60,5.87,24.81,0.02,27.45,75.31,5.57,0.00,23.18,18663.11,28.81,110.00,,0.91,0.00,4.00,7.00,0.43,0.99,365456.00,75.31,805.33,10.99,1.78,,-26.84,28.95,258.92,10.99,,10.99,,8.24,4.37,2.63,6.87,12.08,87.40,33.13,22.83,25.30,382248.00
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,318.25,32337.44,,0.00,8.00,-3.75,2.34,-18.20,51.85,0.12,0.00,99.86,41326.45,101.61,39.70,1.44,0.49,0.00,3.00,4.00,0.71,4.86,312400.00,51.85,0.29,33.35,8.80,,64.69,0.21,,54.88,240.86,33.35,262.39,13.35,19.50,5.35,-2.16,14.84,30.23,5.03,-0.71,-2.20,289693.00
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,240.10,62475.89,18.69,0.00,2.32,1.67,4.11,14.15,68.96,7.23,0.00,23.18,169036.22,260.21,103.14,,0.46,0.00,3.00,6.00,0.17,7.69,503842.00,68.96,9.95,7.38,1.78,,-566.33,5.26,172.53,7.38,,7.38,,12.59,10.92,1.15,-0.82,7.55,84.00,11.38,3.00,26.79,491856.00
Aditya Consumer,540146,,Trading,83.50,122.19,,0.00,4.98,-6.55,0.26,-11.12,55.24,-1.93,0.00,60.14,119.14,1.46,16.76,4.19,0.87,0.00,3.00,4.00,1.99,1.70,471.00,55.24,-5.99,1.25,5.58,,39.80,-6.00,,48.41,39.99,1.25,87.15,44.75,0.00,0.00,0.00,0.00,18.87,4.98,1.85,3.07,346.00
Aditya Ispat,513513,,Steel - Medium / Small,10.50,5.61,,0.00,0.66,-4.72,3.92,-23.91,24.32,0.82,0.00,27.86,38.93,0.54,15.98,7.36,0.59,0.00,4.00,2.00,1.27,5.72,9190.00,24.32,0.66,74.93,2.94,,110.95,0.70,,114.93,14.18,74.93,54.18,75.68,0.00,0.00,0.00,0.00,20.13,7.19,0.54,2.64,8519.00
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,20.20,33.82,18.19,0.00,0.68,2.55,0.32,3.88,66.37,6.97,0.00,23.18,49.54,1.67,29.25,7.04,0.31,0.00,5.00,5.00,0.84,1.49,45324.00,66.37,5.52,10.13,0.85,,35.21,4.96,27.04,76.46,11.03,10.13,77.36,33.10,0.00,0.00,0.00,0.53,28.02,9.31,3.37,5.81,45365.00
Aditya Vision,540205,,Trading,4498.95,5788.47,75.12,0.15,11.86,10.32,0.65,24.74,53.43,2.45,0.00,60.14,6010.95,1.29,379.68,4.03,0.73,0.00,3.00,6.00,2.34,1.53,11038.00,53.43,13.82,0.08,5.58,,87.94,16.61,716.67,92.53,15.43,0.08,107.88,29.66,9.42,8.85,0.85,7.49,113.31,25.24,12.34,59.61,10502.00
Adjia Tech,543269,,Computers - Software - Medium / Small,45.49,4.00,57.14,,1.81,3.17,0.02,3.27,65.20,2.02,0.00,34.11,3.97,0.09,25.10,,9.08,0.00,7.00,1.00,0.15,1.03,122.00,65.20,4.40,88.48,3.70,,752.12,3.42,21.19,88.48,,88.48,,34.80,0.00,0.00,0.00,0.00,24.31,-4.03,-3.99,-4.12,124.00
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,13.12,7.68,,0.00,,-272.73,,,29.61,-1.64,0.00,26.15,9.12,0.58,-2.92,,0.03,,2.00,2.00,0.00,-0.03,18595.00,29.61,-750.00,,3.36,,,-375.00,,,,,,70.40,0.00,0.00,0.00,0.00,-2.68,5.90,4.85,22.22,18628.00
Ador Fontech,530431,,Electrodes - Welding Equipment,144.10,504.36,21.27,4.14,3.84,15.11,0.00,18.34,39.23,6.83,0.00,27.00,458.53,3.50,37.79,5.09,3.96,0.00,8.00,6.00,1.34,1.19,13638.00,39.23,18.73,53.26,3.84,,93.21,19.91,75.94,73.14,51.61,53.26,71.49,60.58,0.19,0.00,0.00,0.00,36.16,21.17,11.02,13.84,13481.00
Ador Multi Prod.,523120,,Personal Care - Indian,34.45,16.10,,0.00,1.46,-27.54,0.00,-28.33,38.55,-17.10,0.00,42.10,16.03,0.47,23.60,1.96,0.91,0.00,7.00,5.00,0.50,1.22,4244.00,38.55,-54.64,10.30,7.03,,78.64,-32.68,,31.90,71.63,10.30,93.23,61.42,0.00,0.00,0.00,0.02,32.57,-66.42,-42.65,-50.67,4214.00
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1405.85,1911.96,30.25,1.31,5.29,13.00,0.12,18.43,56.90,4.57,0.00,27.00,1953.23,1.36,266.49,4.96,1.34,9.18,4.00,3.00,1.82,1.34,32575.00,56.90,19.24,62.13,3.84,,88.17,17.20,527.85,94.45,43.10,62.13,75.42,37.25,0.10,-0.20,1.31,5.74,237.90,26.76,14.16,19.75,30274.00
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,18.42,39.92,13.31,0.00,2.82,7.32,0.10,10.87,38.45,9.87,0.00,34.11,41.71,5.42,6.52,,2.60,0.00,4.00,4.00,0.61,1.16,17242.00,38.45,9.68,207.17,3.70,,159.74,8.45,9.01,207.17,,207.17,,63.64,0.00,0.00,0.00,0.00,3.92,23.24,14.66,28.22,15179.00
Advait Infratech,543230,,Construction,1695.00,1730.21,79.08,0.00,23.54,13.92,0.81,37.63,73.53,2.04,0.00,23.53,1746.40,1.02,72.00,6.43,1.10,0.00,5.00,4.00,1.33,2.14,11926.00,73.53,22.06,75.31,2.74,,66.31,18.26,186.42,-22.26,165.83,75.31,68.27,26.48,0.00,0.00,0.00,0.00,42.01,28.08,8.34,20.95,6325.00
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,45.99,28.63,37.68,0.00,1.09,1.03,1.53,2.65,75.00,4.74,0.00,17.70,68.89,0.62,42.42,0.00,2.53,0.00,3.00,1.00,0.00,2.80,7396.00,75.00,13.30,,2.70,,,4.64,17.94,,,,,25.00,0.00,0.00,0.00,0.00,49.84,0.04,0.04,0.10,7407.00
Advance Meter.,534612,,Electric Equipment,38.49,61.81,,0.00,0.62,-1.68,0.13,-2.00,63.55,-1.80,0.00,58.82,59.44,1.61,61.77,0.72,3.77,0.00,5.00,4.00,0.14,1.21,12944.00,63.55,-0.98,129.03,8.34,,767.56,-0.91,,274.91,242.49,129.03,388.37,36.44,0.00,0.00,0.00,0.00,63.11,-4.57,-5.08,-6.62,12649.00
Advance Petroch.,506947,,Chemicals,288.00,25.92,117.82,0.00,6.93,1.15,2.40,6.06,44.34,3.47,0.00,39.79,34.25,0.09,41.56,4.44,0.65,0.00,6.00,3.00,1.83,5.13,2131.00,44.34,6.46,93.56,3.67,,63.06,5.25,47.81,50.98,131.91,93.56,89.34,55.65,0.00,0.00,0.00,0.00,39.11,20.35,6.03,30.87,2114.00
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,7.30,8.10,,0.00,1.35,-3.28,5.46,-16.46,59.76,-3.58,0.00,23.18,40.78,1.11,5.41,0.07,0.59,0.00,4.00,2.00,0.02,7.62,1174.00,59.76,-4.02,6652.73,0.85,,16123.27,-3.53,,11762.73,235.17,6652.73,5345.17,40.23,0.00,0.00,0.00,0.00,11.02,-7.20,-6.29,-26.75,971.00
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.95,4237.61,29.50,1.06,3.20,10.02,0.04,11.22,43.49,4.93,0.00,34.70,4141.42,11.18,118.41,1.06,6.22,0.00,8.00,2.00,0.42,1.11,68640.00,43.49,10.82,57.67,3.58,,341.89,13.41,178.22,392.68,39.79,57.67,374.80,25.95,23.01,0.47,0.58,7.56,110.45,11.93,8.03,9.23,73034.00
Advani Hotels.,523269,ADVANIHOTR,Hotels,70.83,654.73,26.23,3.41,9.09,26.28,0.02,37.08,50.25,5.29,0.00,47.22,627.26,9.24,7.78,5.58,2.49,0.00,6.00,6.00,1.11,1.32,30541.00,50.25,31.60,2.53,4.25,,19.87,33.62,21.74,-96.34,164.46,2.53,65.60,49.48,0.21,0.04,-0.06,0.05,6.79,66.37,34.52,50.58,19085.00
Advik Capital,539773,,Finance & Investments,2.58,110.47,17.37,0.00,0.99,3.67,0.70,7.43,21.80,9.04,0.00,23.18,188.05,42.82,2.63,93.08,0.46,0.00,4.00,7.00,4.84,1.54,121175.00,21.80,100.94,0.02,1.78,,3.42,8.10,2.99,6.32,0.00,0.02,6.30,78.21,0.00,-0.39,0.00,0.00,1.37,21.02,11.74,26.96,74470.00
Aegis Logistics,500003,AEGISLOG,Trading,873.85,30672.14,54.62,0.75,7.87,8.85,0.68,15.13,58.10,3.06,0.00,34.16,31562.94,35.10,110.95,54.98,2.48,0.00,5.00,4.00,0.94,1.93,65445.00,58.10,12.42,26.59,3.16,,7.87,12.17,201.20,3.09,27.53,26.59,4.02,18.80,18.17,0.20,-0.16,4.92,100.64,15.90,9.09,15.91,60275.00
Aeonx Digital,524594,,Trading,135.00,62.10,32.69,0.74,1.30,3.31,0.02,4.17,54.76,5.87,0.00,34.16,52.04,0.46,103.93,44.12,5.66,13.35,6.00,2.00,0.60,1.20,4199.00,54.76,4.71,110.21,3.16,,370.11,5.21,117.80,110.21,,110.21,0.00,42.77,2.47,0.88,0.00,0.00,94.17,6.29,3.55,4.89,4460.00
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,162.40,2100.19,50.28,0.16,7.17,14.18,0.00,20.50,66.99,3.05,0.00,27.86,1994.82,12.93,22.68,3.58,2.73,0.00,5.00,3.00,1.08,1.00,94670.00,66.99,15.49,108.69,2.94,,107.40,15.98,40.59,115.98,99.53,108.69,106.82,26.56,0.29,-0.07,0.33,6.16,,33.77,16.33,32.38,97153.00
Aerpace Indus,534733,,Trading,30.91,422.46,,0.00,,,,,50.72,,0.00,34.16,,13.67,,,,,0.00,1.00,,,7776.00,50.72,,,3.16,,,,,,,,,49.28,0.00,0.00,0.00,0.00,,,,,7011.00
Aether Industri.,543534,AETHER,Chemicals,921.90,12219.81,131.60,0.00,5.95,4.91,0.09,5.61,81.79,1.11,0.00,39.79,11847.16,13.26,155.66,1.08,3.32,0.00,1.00,1.00,0.32,0.92,78655.00,81.79,4.86,142.10,3.67,,383.79,5.49,147.64,415.00,117.77,142.10,390.66,4.16,2.22,0.25,0.03,11.82,99.96,18.44,12.07,15.91,84000.00
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1356.10,19013.75,63.94,0.00,7.61,11.24,0.07,15.00,56.92,1.94,0.00,34.11,17959.83,14.02,178.17,,3.07,67.34,3.00,4.00,0.70,1.06,308470.00,56.92,11.73,62.86,3.70,,39.83,10.53,291.53,62.86,,62.86,,13.50,14.79,0.44,0.01,14.72,109.95,20.20,12.81,18.51,322499.00
Affordable Robo.,541402,,Engineering,559.00,628.65,103.58,0.00,5.95,3.97,0.44,11.51,55.64,1.73,0.00,40.00,671.65,1.12,93.84,2.11,0.98,0.00,3.00,2.00,0.98,2.90,2507.00,55.64,11.64,160.45,6.71,,141.65,5.31,106.75,152.70,180.92,160.45,173.17,44.35,0.00,0.00,0.00,0.00,47.10,11.19,3.34,8.87,1672.00
AFLOAT Enterpris,543377,,Trading,12.00,5.47,182.33,0.00,1.07,0.55,0.00,0.59,59.47,1.47,0.00,34.16,5.45,0.46,11.21,,85.67,0.00,3.00,0.00,0.35,1.07,122.00,59.47,0.40,260.71,3.16,,969.47,1.55,4.07,260.71,,260.71,0.00,40.54,0.00,0.00,0.00,0.00,11.15,1.78,1.29,1.39,129.00
Agarwal Float,,AGARWALFT,Trading,65.15,47.19,248.37,0.00,3.06,0.70,0.86,1.25,69.77,2.43,0.00,34.16,59.69,0.72,21.32,6.18,1.24,0.00,3.00,1.00,2.92,1.78,353.00,69.77,4.92,52.41,3.16,,107.31,4.79,11.22,103.92,7.60,52.41,59.11,30.23,0.00,0.00,0.00,0.00,21.04,23.93,11.41,27.14,287.00
Agarwal Fortune,530765,,Trading,23.25,8.16,81.62,0.00,17.37,12.90,0.26,24.69,49.32,1.19,0.00,34.16,8.24,0.35,1.34,63.30,1.65,0.00,5.00,3.00,9.52,1.68,2000.00,49.32,16.95,30.17,3.16,,25.72,9.52,2.93,18.14,22.56,30.17,10.53,50.68,0.00,0.00,0.00,0.00,1.00,21.05,15.00,18.46,1907.00
Agarwal Indl.,531921,AGARIND,Petrochemicals,1172.00,1753.05,16.04,0.22,3.44,11.68,0.71,23.88,57.20,7.31,0.00,17.96,2051.58,1.50,341.64,13.84,0.93,0.00,5.00,6.00,2.27,1.83,16562.00,57.20,14.55,45.67,2.88,,37.92,13.20,749.19,26.29,47.02,45.67,27.64,36.32,6.32,0.08,0.03,0.17,269.90,23.55,14.07,26.21,16672.00
AGI Greenpac,500187,AGI,Packaging,703.75,4553.10,18.12,0.71,2.49,7.76,0.34,14.69,60.24,8.87,0.00,26.93,4808.28,6.47,280.48,3.32,1.04,0.00,8.00,4.00,0.75,1.78,67343.00,60.24,12.53,48.36,1.82,,28.30,12.72,495.13,46.47,197.63,48.36,195.74,31.16,7.42,-0.18,-0.15,1.19,248.32,14.76,8.18,17.45,61779.00
AGI Infra,539042,,Construction,853.95,1043.27,20.02,0.12,4.64,5.67,0.61,26.24,72.94,6.74,0.00,33.28,1080.65,1.22,183.89,0.28,0.20,0.00,5.00,6.00,0.32,4.09,2772.00,72.94,16.19,3.56,2.89,,7.37,6.76,420.02,1427.53,23.45,3.56,1447.42,27.05,0.00,0.00,0.00,0.00,141.13,30.25,7.00,32.13,1714.00
Agio Paper,516020,,Paper,4.30,6.94,,0.00,2.30,-4.53,4.55,,63.56,-0.73,0.00,8.71,20.53,1.61,1.87,,0.03,,5.00,3.00,0.01,7.92,8379.00,63.56,-0.43,85.17,1.10,,-7750.17,-0.63,,85.17,,85.17,,36.39,0.00,0.00,0.00,0.04,-15.21,-3.34,-5.95,,8237.00
